titulo,empresa,fecha,herramientas,descripcion,ubicacion,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,url,portal
Administrador sistemas Linux,CMV Consultores,hace 1h,"['Linux', 'CENTOS', 'Ethernet', 'Software', 'Redhat']","CMV Consultores es una empresa de Servicios de IT, dedicada fundamentalmente a la selección de profesionales con perfiles técnicos. Asimismo ofrece a sus clientes servicios de asesoría y soporte en la implantación de soluciones tecnológicas y desarrollo de aplicaciones. ¿Estás buscando una nueva oportunidad o un nuevo proyecto?Desde CMV Consultores te brindamos las mejores oportunidades, tanto si estás empezando tu carrera como si tienes experiencia y estás buscando nuevos retos.Buscamos un Administrador/a de sistemas sénior LINUX, para trabajar en proyecto de importante empresa cliente.Se requiere experiencia en:Administración de sistemas, Mantenimiento de SW, sistemas de monitorización y troubleshooting.Cabinas SAN/NetappGestor de coles(Slurm)Proyecto en Madrid: hibrido",Madrid,BMG, jornada completa,al menos 3 años,indefinido,30.000€ - 40.000€ Bruto/año,2024-01-29,https://www.infojobs.net/madrid/administrador-sistemas-linux/of-i76731fe02d4e0ea34369f9f6d3ca05?applicationOrigin=search-new&page=3&sortBy=PUBLICATION_DATE,infojobs
Técnico/a de Prevención de Riesgos Laborales Junior.,INELCOM,hace 2h,"['PRL', 'Microsoft Excel', 'Microsoft Word', 'Microsoft PowerPoint', 'Prevención de riesgos en la construcción', 'Gestión de prevención riesgos laborales', 'CAE', 'Administrativo', 'Seguridad']","Si tienes experiencia y/o formación como Técnico de Prevención de Riegos Laborales elaborando Planes de Seguridad para proyectos y obras y quieres incorporarte a un proyecto relacionado para continuar en sector o desarrollarte profesionalmente, INELCOM puede ser la oportunidad que buscas.Funciones a desarrollar:- Recogida de datos sobre el terreno- Elaborar Planes de Seguridad- Identificar riesgos- Evaluar riesgos- Implementar medidas preventivas- Visitar lugares de obras en curso y obras futuras- Otras funciones asociadas dentro del departamento de PRL y de los Proyectos de despliegue de fibra óptica.¿Qué buscamos?- Formación como Técnico Superior de PRL- Sólida experiencia en elaboración de Planes de Seguridad- Disponibilidad para visita de sitios de construcción a nivel nacional (alta movilidad)- Capacidad para trabajar en equipo y de gestión proactiva de necesidades técnicas- Alto manejo del paquete Office¿Qué ofrecemos?- Posibilidad de trabajar en una empresa en pleno crecimiento a nivel nacional e internacional.- Incorporación a proyecto fuerte dentro del sector tecnológico, con alto recorrido y posibilidad de desarrollo.- Participación en equipo multidisciplinar- Incorporación a una compañía con 40 años de experiencia profesional.- Formar parte de una empresa responsable y comprometida con la igualdad de oportunidades y el medio ambiente.Si tienes ganas de aportar tus capacidades y conocimientos y estás buscando unirte a un proyecto en crecimiento en nuestro sector ¡Te animamos a que apliques y nos podamos conocer!En áreas de favorecer la igualdad entre mujeres y hombres, se procurará el equilibrio de género en los procesos de selección y, en igualdad de condiciones",Pozuelo De Alarcón,Servicios y tecnología de la información, jornada completa,no requerida,indefinido,o disponible,2024-01-29,https://www.infojobs.net/pozuelo-de-alarcon/tecnico-prevencion-riesgos-laborales-junior./of-i6d2308329d42e480ea703e8a41f0b8?applicationOrigin=search-new&page=4&sortBy=PUBLICATION_DATE,infojobs
Desarrollador de Sistemas IT,novanotio,hace 3h,"[' Desarrollo de sistemas de despliegue de infraestructuras', ' Herramientas ITOM / Ansible', ' Administración de Linux', ' Administración de VMWare', ' Ansible for Network Automation', ' Ingeniería de Telecomunicaciones']","Modalidad: 100% presencialUbicación: Torrejón de ArdozPerfil Requerido:-Desarrollo de sistemas de despliegue de infraestructuras-Herramientas ITOM / Ansible (Nivel Medio)-Admin. Linux / VMWare (Exp: 3-4 Años)-Monitorización y automatización con Ansible for Network Automation  (Nivel Medio)-Titulación en Ingeniería (Telecom., Aeronáutica, Informática) Inglés alto-Disponibilidad para viajar (Francia/Alemania, esporádicamente)-Duración máxima: 1 semanaOfrecemos:-Proyecto estratégico en defensa-Ambiente tecnológico avanzado",Torrejón De Ardoz,Servicios y tecnología de la información, jornada completa,al menos 2 años,indefinido,40.000€ - 45.000€ Bruto/año,2024-01-29,https://www.infojobs.net/torrejon-de-ardoz/desarrollador-sistemas-it/of-iacb5151f594b62960b1a17b69c74a0?applicationOrigin=search-new&page=4&sortBy=PUBLICATION_DATE,infojobs
Analista Programador/a .Net Azure,NexTReT,hace 1h,"['.NET', 'PowerShell', 'Microsoft Azure', 'API', 'REST', 'Angular', 'React', 'Git']","Contamos con dos posiciones como analista programador senior en tecnologías .NET Core y Azure, con una experiencia de entre 3 y 5 años para unirse a nuestra oficina de proyectos.Se trata de una posición híbrida, con un 60% de teletrabajo, y podrás trabajar desde la oficina de Madrid o Barcelona.¿Qué harás en NexTReT? Si te incorporas a NexTReT, formarás parte del equipo de Desarrollo de Software y te integrarás en el equipo de soluciones Microsoft, especialmente en proyectos y servicios orientados a .Net y Azure. Formarás parte del equipo de Desarrollo de Software (ADV) y te integrarás en el equipo de soluciones Microsoft, y especialmente en proyectos y servicios orientados a .NET y Azure.Participarás en el desarrollo de proyectos como programador y en la documentación de las soluciones a implementar.De forma genérica participarás en el ciclo de vida completo de las soluciones desarrolladas.¿Qué funciones realizarás? - Desarrollo de aplicaciones .NET Core, MVC, SPA.- Conocimientos de Azure Apps, BBDD cloud, desarrollo de API REST y Azure Funtions, API Management- Conocimientos de Angular, React, Vue y Node.js.- Colaboración con equipo de desarrollo de proyectos y servicios- Azure Devops- En dependencia de jefe de proyecto del área de desarrollo- Elaboración de documentación técnica- Preparación de planes de pruebas y su ejecución.¿Cómo te imaginamos? Buscamos un perfil senior, que haya trabajado como Analista programador al menos entre 3 y 5 años en el desarrollo de aplicaciones, especialmente c# y entornos cloud con Azure.Formación universitaria tecnológica, o ciclo formativo de grado superior tecnológico.Con buena capacidad de comunicación en el trabajo en equipo y orientado a resultados. Que tenga pasión por la tecnología y la innovación con una visión general en el ámbito tecnológico de los proyectos. ¿Qué ofrecemos? - Contrato indefinido.- Salario competitivo en función de experiencia y conocimientos aportados que está alrededor de 30.000-38.000€ brutos/anuales.- Teletrabajo al 60%.- Podrás trabajar en las oficinas de Madrid o Barcelona. Oficinas con ubicación céntrica y bien comunicada. - Horario flexible. Habitualmente L-J de 9 a 14 y 15 a 18:30. V de 9 a 15- Beneficios adicionales, como la opción de solicitar tickets guardería y la posibilidad de unirte a nuestro seguro de salud colectivo.- Te unirás a una empresa comprometida con la igualdad de oportunidades para todas las personas, que se esfuerza por mantener un entorno laboral inclusivo y libre de discriminación. Valoramos la diversidad, por lo que consideraremos todas las candidaturas sin importar su origen, género, edad, religión, orientación sexual o cualquier otra característica personal.“En el caso de ser considerado finalista y seleccionado para incorporarse en NexTReT, le solicitaremos información adicional para poder cursar la contratación, con la única finalidad de poder acreditar fehacientemente la información de su CV, especialmente en cuanto a titulaciones académicas e información profesional relevante del CV. Si tuviera dudas sobre como aportar información de forma parcial, podrá indicarlo a la persona que gestione, en su caso, su contratación”.",Barcelona,Servicios y tecnología de la información, jornada completa,al menos 4 años,indefinido,30.000€ - 39.000€ Bruto/año,2024-01-29,https://www.infojobs.net/barcelona/analista-programador-.net-azure/of-iae03ab87184d4d81bacf487c9c94a5?applicationOrigin=search-new&page=4&sortBy=PUBLICATION_DATE,infojobs
Programador/a Angular y Java (100% remoto),KEAPPS,hace 1h,[],"¿Tienes experiencia trabajando con Angular y Java? ¿Posees también experiencia haciendo el testeo de tus apps? Si además disfrutas trabajando desde la comodidad de tu casa, tenemos tu proyecto.Desde Keapps estamos ampliando el equipo que tenemos y buscamos a un/a Programador/a Fullstack con al menos 3-4 años de experiencia para una línea de proyectos de los bancos más importantes de España, que se está gestionando de forma 100% remota.TECNOLOGÍAS:+ Lenguajes de programación (Spring, Java, Angular).+ HTML + CSS3+ JavaScript+ Sistemas Operativos Linux/Unix.+ Gestión y revisión de código: Git, SVN+ Integración y despliegue continuo: Jenkins, CloudBees+ Provisionamiento y empaquetado: Docker, Kubernetes, Azure/AWS+ Formatos de intercambio de datos (JSON/XML)+ SQL (Oracle, MySQL, PostgreSQL)+ Herramientas Colaborativas: Jira, ConfluenceFUNCIONES: - Desarrollo web fullstack.- Desarrollo de APIs del lado del cliente en entorno empresarial.- Trabajo en equipo, con software de control de versiones.- Soluciones gráficas para grandes volúmenes de datos. - Tareas de testing.SE OFRECE:- Contrato indefinido.- Proyecto estable.- Modalidad: 100% remoto. - Seguro médico y dental (bajo retribución flexible).- Horario: De L-J de 08:00h a 18:00h y V de 8:00 a 15:00h. Jornada intensiva en julio y agosto de 8:00 a 15:00h.- Flexibilidad de 1 hora.- Formación IT a cargo de la empresa.- Salario: negociable según experiencia aportada (entre los 39.000 y 41.000€ al año).- Departamento encargado de la gestión del servicio: contarás con personal enfocada en la supervisión de tu estado en el proyecto (compañeros/as, PC, resolución de incidencias, etc.).- Agradable proceso de selección Si ya tienes un viaje o vacaciones planeadas, no dudes en comentárnoslo y trataremos de respetarlas, ¡así que no dejes pasar esta oportunidad!",Madrid,Servicios y tecnología de la información, jornada completa,al menos 3 años,indefinido,39.000€ - 41.000€ Bruto/año,2024-01-29,https://www.infojobs.net/madrid/programador-angular-java-100-remoto/of-ic9755e0b364677b544f7241298a21d?applicationOrigin=search-new&page=4&sortBy=PUBLICATION_DATE,infojobs
Desarrollador Angular ( hibrido) Madrid,Abalia,hace 1h,"['Javascript', 'angular', 'typescript', 'nodejs']","En Abalia estamos buscando profesional con experiencia como desarrollador Angular. Proyecto ubicado en Madrid. Posibilidad de asistir a oficina en momentos puntualesRequisitos: AngularDiseño, desarrollo y pruebas unitarias front angular. Conocimientos de microfrontends y webcomponents. Typescript, javascript, nodejs, Jest, mongodbInscríbete en nuestra oferta, y anímate a trabajar de una manera diferente.",Madrid,CC, jornada completa,al menos 3 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/madrid/desarrollador-angular-hibrido-madrid/of-i9dba984a2e47e393f534b87355730d?applicationOrigin=search-new&page=4&sortBy=PUBLICATION_DATE,infojobs
Ingeniero/a Devops: DevSecOps,COBSER CONSULTING,hace 1h,"['seguridad', 'automatización', 'desarrollo de software', 'control de código fuente', 'DevsecOps']","Desde Cobser Consulting, empresa con 21 años de experiencia en el sector de servicios profesionales y donde cuidamos a nuestros trabajadores por encima de todo, actualmente requerimos para un importante cliente y proyecto un perfil con experiencia como DevSecOps.Se ofrece:- Trabajo en modalidad híbrida o remoto- Contrato indefinido- Proyecto de muy larga duración- Salario acorde a experiencia- Plan de formación anual",Madrid,"
Informática y telecomunicaciones -
													Sistemas
", jornada completa,al menos 2 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/madrid/ingeniero-devops-devsecops/of-if3751c2f7242398ab624460f897165?applicationOrigin=search-new&page=4&sortBy=PUBLICATION_DATE,infojobs
Android Developer // Mobile Developer,HUBTALENT,hace 1h,"['Android', 'Android SDK', 'android studio', 'android ktx', 'kotlin', 'SQL Server', 'mobile de', 'android developer', 'Desarrollador mo', 'Desarrollador Android']","Desde Hubtalent buscamos incorporar ANDROID DEVELOPER para importante compañía multinacional Ecommerce.¡Tendrás la oportunidad de trabajar dentro de un sector puntero y crecer profesionalmente dentro de un equipo estable!Reportarás de forma directa al Responsable de APP Móviles.FUNCIONES:-  Planificación, diseño y desarrollo de la estructura de la aplicación Android.-  Relación con cliente para conocer sus necesidades en cuanto a nuevos proyectos.-  Mantenimiento y evolutivos.TECNOLOGÍAS:-  Tecnologías: Android Studio, Android KTX, SDK-  Lenguaje: Kotlin-  BBDD: SQL Server UBICACIÓN: Corredor del Henares ( TELETRABAJA DOS DÍAS)CONTRATO: IndefinidoHORARIO: Flexible entra de 8 a 10h y los viernes trabaja hasta el medio día!SE OFRECE:- Crecimiento y formaciones por parte de la compañía- Cliente Final- Sector estable y punteroSi estás interesado en conocer más detalles sobre la oportunidad, no dudes en inscribirte.¡muchas gracias!",Madrid,Servicios de RRHH, jornada completa,al menos 2 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/madrid/android-developer-mobile-developer/of-id6646608c34dbca93bf05a14752372?applicationOrigin=search-new&page=4&sortBy=PUBLICATION_DATE,infojobs
Programador FullStack .NET - Angular (Presencial Madrid),AARON FORMACIÓN Y CONSULTORÍA,hace 1h,"['.NET', 'C#', 'API', 'SQL', 'Git', 'Angular']",Desde Aaron buscamos programadores .NET con al menos 3 años de experiencia para una posición de larga duración.Skills necesarias:- C#- NET framework- Angular- GIT- SQL- API Rest**Presencialidad zona La GaviaOfrecemos:- Contrato indefinido- Retribución flexible- Salario 33.000€ brutos anuales,Madrid,Servicios y tecnología de la información, jornada completa,al menos 3 años,indefinido,33.000€ - 33.000€ Bruto/año,2024-01-29,https://www.infojobs.net/madrid/programador-fullstack-.net-angular-presencial-madrid/of-iee2e7954e44c60afe3af6fde6bca74?applicationOrigin=search-new&page=4&sortBy=PUBLICATION_DATE,infojobs
Arquitecto/a Senior de Soluciones (Programador/a Full Stack),EGA CONSULTORES,hace 1h,[],"EGA Consultores selecciona para importante Startup ubicada en los alrededores de Vigo, un/aArquitecto/a Senior de Soluciones (Programador/a Full Stack)Trabajará con un equipo polivalente e interdisciplinario para planear y ejecutar los proyectos de cara a la visión estratégica.Funciones:Liderar y realizar trabajos de desarrollo tanto en el Front como en el BackEnd para proyectos en el sector salud.",Vigo,Otras actividades, jornada completa,más de 5 años,indefinido,45.000€ - 50.000€ Bruto/año,2024-01-29,https://www.infojobs.net/vigo/arquitecto-senior-soluciones-programador-full-stack/of-i0dc97412264f599b1549313087d2d3?applicationOrigin=search-new&page=4&sortBy=PUBLICATION_DATE,infojobs
Administrador/a Sistemas,Sopra Steria,hace 1h,[],"En Sopra Steria trabajamos para hacer posible la transformación digital de nuestros clientes y para conseguirlo necesitamos seguir creciendo y sumando gracias a personas como tú.Nuestros empleados/as coinciden en el gran equipo y ambiente que formamos en Sopra Steria. Somos 50.000 personas trabajando en 30 países y nuestra misión es unir talento y tecnología, tratando de ayudarte a que encuentres un lugar en el que poder desarrollar todo tu potencial.Nos gustaría incorporar en nuestro equipo un/a Administrador/a de Sistemas para colaborar en un proyecto de Administración Pública. Funciones:- Administración de la plataforma de motorización de sistemas (Kibana, Grafana)- Administración de plataforma de automatización AWX (ejecución de Playbooks, templates, gestión de identidades y accesos)- Scripting (Powershell, Ansible)- Administración del Directorio Activo (mantenimiento de GPOs, DNS, DHCP, ADFS)- Administración de Office 365- Gestión de Sistemas Operativos Windows Server y Linux- Administración de la plataforma de virtualización (VMware)- Gestión backup ¿Qué ofrecemos?Porque sabemos lo que necesitas…• Facilidades para ti, para tu tiempo. ¡No todo va a ser trabajo!• Participa en proyectos retadores. ¿Te animas a aprender algo nuevo?• Crece con un programa de desarrollo continúo personalizado.• Disfruta de nuestros Beneficios y accede al Plan de retribución flexible.• Continúa formándote con nosotros: Tecnología, habilidades, metodologías e idiomas.¡Atrévete a trabajar de una forma diferente y conócenos!",Sevilla,"
Informática y telecomunicaciones -
													Sistemas
", jornada completa,al menos 4 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/sevilla/administrador-sistemas/of-i8c33c03cb84810a45dff89198d1586?applicationOrigin=search-new&page=4&sortBy=PUBLICATION_DATE,infojobs
"Desarrollador/a Senior Magento (100% teletrabajo, remoto) (VE01)","Mensoft Consultores, S.L",hace 1h,"['Magento', 'GraphQL', 'Adobe Commerce Cloud', 'SAML2/Gicar']","¿Interesado en nuevos retos? En Mensoft Consultores estamos buscando un/a Desarrollador/a Senior Magento (100% teletrabajo, remoto) que quiera entrar a formar parte de un proyecto estable, en uno de nuestros clientes más importantes.REQUISITOSExperiencia mínima de 3 años en Magento versión 2. Experiencia en desarrollo backend y módulos desde 0. Experiencia en la creación de servicios GraphQL y mutations. Experiencia Adobe Commerce CloudCertificado Adobe Commerce Profesional DeveloperREQUISITO DESEABLE Experiencia en proyectos de la Generalitat, integración sistema de autenticación SAML2/Gicar.CONDICIONES- Proyecto estable- Salario: hasta 40K- 100% Remoto",Madrid,Servicios y tecnología de la información, jornada completa,al menos 3 años,otros contratos,o disponible,2024-01-29,https://www.infojobs.net/madrid/desarrollador-senior-magento-100-teletrabajo-remoto-ve01/of-i91928ebf16401fb2bf87bdcefd9653?applicationOrigin=search-new&page=4&sortBy=PUBLICATION_DATE,infojobs
Desarrollador,PAMPOLS -Packaging Integral-,hace 3h,"['Wordpress', 'Magento', 'Php', 'Javascript', 'sql']","FuncionesEmpresa líder en el sector del envase y embalaje, en pleno crecimiento y con visión familiar, ubicada en Vilanova de la Barca precisa reforzar su equipo informático.¿Tienes experiencia como desarrollador/a informático/a?En Pampols Packaging, buscamos una persona con experiencia en desarrollo informático en programación web y ganas de aprender, con aptitud. Se pretende formar un equipo interno con la ayuda y formación de programadores externos para dar continuidad al desarrollo de aplicaciones nativas y de terceros. Eres el/la candidato/a ideal si...Eres una persona con alta capacidad analítica de los problemas, autónoma, resolutiva, autodidactica, con capacidad para el trabajo en equipo y empatía, así como responsable e implicada con los objetivos de la compañía aportando y sugiriendo nuevas ideas. Se ofreceSalario: 21.000€ - 36.000€ Bruto/año según valúa del candidato.- Flexibilidad horaria- Seguro médico- Buen ambiente de trabajo",Vilanova De La Barca,"
Informática y telecomunicaciones -
													Programación
", jornada completa,al menos 2 años,indefinido,21.000€ - 36.000€ Bruto/año,2024-01-29,https://www.infojobs.net/vilanova-de-la-barca/desarrollador/of-i0ca3f3c8824ffa9eefae046ad115ad?applicationOrigin=search-new&page=5&sortBy=PUBLICATION_DATE,infojobs
Estudiante en prácticas apasionado por la IA y el Big Data (Tenerife),"ATOS HOLDING IBERIA, S.L",hace 3h,"['Informatica', 'Telecomunicaciones']","Diseño, desarrollo y mantenimiento de los sistemas de procesamiento de datos dentro de un proyecto de Big data. · Construcción y mantenimiento de las estructuras de datos y las arquitecturas tecnológicas necesarias para el procesamiento a gran escala de aplicaciones que usan datos de manera intensiva.· Identificación de procesos automatizables de las operaciones; desde tareas manuales repetitivas o actividades de servicio hasta bases de datos.",Santa Cruz De Tenerife,Servicios y tecnología de la información, jornada parcial - mañana,no requerida,indefinido,o disponible,2024-01-29,https://www.infojobs.net/santa-cruz-de-tenerife/estudiante-practicas-apasionado-por-ia-el-big-data-tenerife/of-idc75abf3214952a714ef57a1e39ee0?applicationOrigin=search-new&page=5&sortBy=PUBLICATION_DATE,infojobs
"Administrador/a de Redes, comunicaciones y ciberseguridad",INGETEAM,hace 1h,[],"Funciones• Administrar los sistemas LAN conmutación y enrutamiento.• Administrar los sistemas NAC integrándolos con el resto de soluciones de la empresa.• Administrar los entornos WI-FI de Aruba e implementar soluciones del mismo tipo en la compañía.• Desarrollar diseños detallados de redes inalámbricas y cableadas.• Administrar los sistemas de seguridad perimetral Arquitectura de seguridad, firewalls físicos y virtuales, gestión UTM, IPS-IDS, soluciones SD-WAN.• Implementar soluciones de convergencia IT / OT en el ámbito de las comunicaciones y la seguridad.• Responder a incidentes, solucionar problemas de conectividad, rendimiento y seguridad.• Realización de planes de seguridad y análisis de riesgos que aseguren el funcionamiento de la red. • Control de la calidad del servicio proporcionado por la red y obtención y evaluación de niveles de servicio y medidas de tráfico de red. Incluyendo la presentación de informes regulares• Gestión y control del cambio: planificación y ejecución de cambios hardware y software que deban acometerse en la red.• Análisis y estudio de nuevas tecnologías y mejoras en las herramientas de Administración de Red y ciberseguridad• Gestionar proyectos con personal interno y proveedoresSe ofrece• Incorporación en una organización innovadora en plena expansión nacional es internacional, cuyo objetivo es contribuir a la transición del modelo energético.• Horario flexible y facilidades de conciliación laboral – personal.• Contrato acorde al perfil de la candidaturaEn Ingeteam valoramos la diversidad y facilitamos la inserción de personas con discapacidad. Por ello, si reúnes los requisitos generales de la vacante y dispones de certificado con grado de discapacidad igual o superior al 33%, Ingeteam valorará positivamente tu candidatura.",Sarriguren,"
Informática y telecomunicaciones -
													Sistemas
", jornada completa,al menos 3 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/egues/administrador-redes-comunicaciones-ciberseguridad/of-i9c1f017c464331931eb037d827d80a?applicationOrigin=search-new&page=5&sortBy=PUBLICATION_DATE,infojobs
QA Tester Sector Bancario - Teletrabajo,EXIS-TI,hace 1h,"['Jira ', 'SQL', 'Banca', 'JavaScript', 'Java', 'Reporting', 'Excel']","Senior Software Tester. · Funciones: Diseño, ejecución y reporte de casos de prueba de software, revisión de los requisitos de negocio, preparación de los escenarios de prueba de software, reporte y gestión de incidencias, preparación de reportes de seguimiento del plan de pruebas. · Tecnologías obligatorias: Testing en Banca, Reporting, JIRA · Tecnología deseable: SQL, Java, JavaScript, HP ALM, Excel. Inglés: B2-C1. Sector: Banca. Ubicación: 100% Teletrabajo.",Madrid,MLG, jornada completa,al menos 3 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/madrid/qa-tester-sector-bancario-teletrabajo/of-iab72ecd6f246c2bd6803464bbafc08?applicationOrigin=search-new&page=5&sortBy=PUBLICATION_DATE,infojobs
Operador/a CPD,INETUM Centro,hace 1h,"['CPD', 'Operador ']","Desde INETUM, buscamos incorporar un/a Operador/a CPD para uno de nuestros proyectos.Se trata de una posición estable, ubicada en Madrid con un modelo de trabajo presencial.Requisito: Contar con conocimientos de operación y monitorización de CPDsFunciones:Operación de CPDs.Desmagnetización de Discos.Revisión de estado de bastidores.Control de Inventario (Infraestructuras TI).¿ESTAMOS HABLANDO DE TI? ¡NO TE VAYAS TODAVÍA!¿QUÉ PODEMOS OFRECERTE?- Contratación indefinida.- Salario Competitivo.- Retribución flexible y club de beneficios de empresa.- 22 días de vacaciones + 2 de asuntos propios.- Flexibilidad horaria.- Sistema de teletrabajo flexible.- Formación por parte de la empresa para que puedas seguir desarrollándote y promocionar dentro del plan de carrera que existe para ti.- Acceso a ventajas del grupo de empresa.¿Eres la persona que buscamos? Inscríbete en nuestra oferta y haznos llegar tu perfil completo. ¡Estamos deseando contar contigo!Somos un grupo internacional de consultoría digital ágil. En la era de la post transformación digital, nos esforzamos por permitir que cada uno de nuestros 27 000 profesionales se renueve continuamente viviendo de manera positiva su propio flow digital.Cada uno de ellos puede moldear su trayectoria profesional de acuerdo con sus preferencias, emprender de forma práctica para construir junto a sus clientes un mundo más positivo, innovar localmente en 26 países y armonizar su carrera profesional con su bienestar personal.Únete a Inetum. Live your positive digital flow.",Madrid,LMP, jornada completa,al menos 2 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/madrid/operador-cpd/of-i50b037580f4b8ebdcd9b08cc715cab?applicationOrigin=search-new&page=5&sortBy=PUBLICATION_DATE,infojobs
SAP Consultant – SAP QM,SIEGFRIED BARBERA S.L.,hace 2h,"['SAP-QM Quality Management', 'SAP']","Are you a SAP professional with expertise in Quality Management (QM), Materials Management (MM), and Production Planning (PP)? We have a fantastic opportunity waiting for you to make a significant impact on our organization in the Life Science Industry! The full-time position is available for immediate filling or by arrangement.YOUR ROLE- Architectural and technological support for transitioning from R/3 to S/4 across multiple pharmaceutical plants worldwide.- Provide functional and technical support for SAP Quality Management.- Collaborate with other SAP modules (MM, PP, and SD) to ensure seamless integration and data consistency throughout the organization.- Offer 2nd-3rd level support for both R/3 and S/4 stacks.- Take responsibility for the entire project cycle, including planning, conceptual design, implementation, validation, and go-live, in close cooperation with business departments.- Manage external consultants.- Work in a GxP-validated environment, considering internal and external compliance requirements.- Provide training and support to key users, assisting in issue resolution, and conducting workshops to promote effective utilization of SAP QM functionality.",Barberà Del Vallès,Industria farmaceútica, jornada completa,al menos 2 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/barbera-del-valles/sap-consultant-sap-qm/of-ibe1584c2f049cc9af67ff147929488?applicationOrigin=search-new&page=5&sortBy=PUBLICATION_DATE,infojobs
Técnico/a de sistemas Linux Apache + Programación PHP,SOLUTIO,hace 2h,"['PHP', 'LAMP', 'Apache', 'MySQL', 'PostgreSQL', 'Nagios']","¿Te apetece formar parte de una compañía en pleno crecimiento? ¿Y trabajar rodeado del mejor TALENTO en proyectos realmente innovadores? En SOLUTIO es posible y nos gustaría conocerte.Buscamos para incorporación estable en nuestro equipo en cliente en Madrid, Técnico/a de sistemas Linux Red Hat, con experiencia en programación con PHP, trabajando en entorno LAMP.Se trata de un puesto que se realiza en modalidad híbrida de teletrabajo. Ubicación del cliente: Centro de Madrid (Metro Bilbao) ¿Cuáles serían algunas de tus funciones?- Despliegue, configuración y administración aplicaciones PHP. - Gestión de peticiones y despliegues de aplicaciones PHP. - Configuración de frontales apache. - Análisis de aplicaciones en el ámbito de la seguridad y del rendimiento y propuestas de mejora. ¿Qué ofrecemos?- Contrato indefinido con Solutio.- Jornada completa. - 22 días laborales de vacaciones por año trabajado.- Paquete retributivo flexible y de elección voluntaria (tarjeta restaurante, seguro médico, dental, cheque guardería, etc.).- Seguimiento del bienestar del emplead@ desde el Departamento de Culture&People Experience de Solutio (onboarding, desarrollo profesional, plan formativo, etc.).Si estás buscando un cambio profesional y quieres participar en proyectos innovadores con tecnologías punteras, ¡¡anímate y envíanos tu CV!!Solutio está comprometido con la igualdad de trato y oportunidades entre mujeres y hombres, y por eso, implementamos procesos de selección no discriminatorios.",Madrid,Servicios y tecnología de la información, jornada completa,al menos 2 años,indefinido,30.000€ - 33.000€ Bruto/año,2024-01-29,https://www.infojobs.net/madrid/tecnico-sistemas-linux-apache-programacion-php/of-i110f1ba82d469c87a0bf781ba23e27?applicationOrigin=search-new&page=5&sortBy=PUBLICATION_DATE,infojobs
Instaladores/as telecomunicaciones I+M provincia Madrid,"Circet Infraestructuras de Telecomunicaciones, SA",hace 2h,"['Óptica', 'Televisión', 'Internet', 'Fibra Optica', 'Mantenimiento']","Contrata directa para Operadora precisa técnicos/as de telecomunicaciones (Fibra Óptica, FTTH y HFC) para instalación y mantenimiento de servicios de internet, televisión y teléfono. En residencial, Pymes y clientes corporate. Se ofrece puesto de trabajo a jornada completa y alta en la seguridad social desde el primer día. Formación a cargo de la empresa con contrato. Se suministran todos los equipos y herramientas necesarios para la realización del trabajo, incluido vehículo y combustible. El perfil de los candidatos/as será personal con formación en electricidad, electrónica e informática. Estudios mínimos: Formación Profesional Grado Medio - Electrónica y electricidad·       Experiencia mínima: Al menos 1 año de experiencia·       Conocimientos necesarios·       Técnico en Telecomunicaciones·       Requisitos mínimosSe valorara experiencia en instalaciones corporate",Leganés,Telecomunicaciones, jornada completa,no requerida,indefinido,o disponible,2024-01-29,https://www.infojobs.net/leganes/instaladores-telecomunicaciones-m-provincia-madrid/of-if676db94174dbc911bc82f14454697?applicationOrigin=search-new&page=5&sortBy=PUBLICATION_DATE,infojobs
