titulo,empresa,fecha,herramientas,descripcion,ubicacion,presencialidad,funciones,jornada,experiencia,tipo_contrato,salario,solicitudes,fecha_scrapeo,url,portal
IT Technician Viladecans (Barcelona),Page Personnel,Hace 29 horas (Actualizada),"IT technical knowledge such as a whole, of the company and their businesses and of the fundamental principles of IT security.  Good skills in Windows, Linux, networks and telecom environments, experience in security.  Proven experience in providing technical support to employees in Office 365, Windows, networks and telecoms environments.  Ability to write internal procedures, user guides and provide a first level of training to users  Ability to supervise technical services and monitor the stock of computer equipment.  Good level of english.  A good level of French will be valueda good level of French will be valued.","Organizes the IT activity according to the needs and priorities of the site and the recommendations or directives of the IT department.  Manages the site's IT budget.  Ensures the proper functioning and security of equipment and applications: control, access, data, documentation.  Carries out corrective and preventive maintenance of its site's equipment and local applications.  Provide support to users.  Advises users in their projects and carries out continuous improvement actions.  Participates in the design of local solutions.  Ensures technological monitoring of user needs.",Viladecans (Barcelona),,"['Técnico de Soporte', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 5 años de experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/it-technician/viladecans/3014800/,infoempleo
Technical Manager - AI Company Vigo (Pontevedra),Page Personnel,Hace 23 horas (Actualizada),"Profesional con fuerte capacidad analítica, visión estratégica y habilidades de liderazgo.  Experiencia en gestión de proyectos y productos, toma de decisiones técnicas, y trabajo en entornos ágiles.  Conocimiento profundo en Inteligencia Artificial, especialmente en Procesamiento de Lenguaje Natural (PLN) y Visión Artificial.  Colaboración efectiva con equipos técnicos y de negocios, demostrando habilidades de comunicación y negociación.  Formación universitaria en tecnología, con preferencia por un doctorado en IA (PLN y/o Visión Artificial).  Experiencia en procesamiento inteligente de documentos y/o PLN.  Alto dominio del inglés (C1), con valoración de otros idiomas.  Disponibilidad para viajar internacionalmente.","Estamos buscando al responsable técnico para definir y gestionar el desarrollo técnico de un producto de sistemas inteligentes a través del uso de técnicas de procesamiento del lenguaje natural (PLN) y visión artificial.   Responsable de definir y supervisar el desarrollo técnico del producto.  Interacción con clientes y equipo de negocios para analizar requisitos y traducirlos al lenguaje técnico del equipo.  Gestión del equipo técnico de la spin-off, impulsando el desarrollo profesional de los miembros.  Definición y dirección de la estrategia tecnológica a corto y largo plazo de la spin-off.  Ejercicio de un rol modelo en filosofía ágil e innovación dentro de la spin-off.",Vigo (Pontevedra),Teletrabajo parcial,"['Director de Área Técnica', 'Categoría o nivelDirección']",Jornada Completa,Al menos 4 años de experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/technical-manager-ai-company/vigo/3014783/,infoempleo
Desarrollador PHP - REMOTO 100% España,Page Personnel,Hace 24 horas (Actualizada),Candidato con al menos 4 años de experiencia desarrollando en PHP.,- Desarrollo de nuevas platafromas e-learning.- Integración de plataformas con clientes.- Migraciones.,España,Teletrabajo 100%,"['Programador', 'Programador PHP', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 3 años de experiencia,Contrato Indefinido,Retribución sin especificar,2.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/desarrollador-php-remoto-100/espanna/3014780/,infoempleo
AI Researcher - E-health AI Company Vigo (Pontevedra),Page Personnel,Hace 26 horas (Actualizada),"Experiencia en Inteligencia Artificial (Aprendizaje Automático/Aprendizaje Profundo) y programación en Python.  Conocimientos en GIT y procesos de revisión de código (calidad del código, buenas prácticas de desarrollo, etc.).  Habilidad para comunicarse fluidamente en inglés.  Titulación en Ingeniería Informática, Biomédica, Telecomunicaciones o disciplina técnica/científica afín.",Buscamos un investigador de Inteligencia Artificial para formar parte de un equipo encargado de desarrollar el prototipo funcional de un dispositivo médico para un proyecto del sector e-health a través de inteligencia artificial.  Investigar y analizar soluciones técnicas para problemas identificados.  Transformar necesidades comerciales en requisitos técnicos.  Dirigir proyectos asegurando su éxito.  Contribuir en decisiones técnicas durante el desarrollo del proyecto.  Elaborar propuestas técnicas de investigación en Inteligencia Artificial.,Vigo (Pontevedra),,"['Jefe de Proyecto', 'Categoría o nivelMando intermedio']",Jornada Completa,Al menos 1 año de experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/ai-researcher-e-health-ai-company/vigo/3014779/,infoempleo
Lead Front Vue Barcelona,Page Personnel,Hace 5 horas (Actualizada),A minimum of 5 years of experience working with JSA minimum of 4 years of experience working with Vue.js or React.jsA minimum of 5 years of experience working with CSS frameworks,"The Lead Frontend Developer role involves spearheading the development of an e-commerce and corporate website, utilizing Vue.js. The ideal candidate, with a minimum of 5 years of JS experience and expertise in Vue.js, React.js, CSS frameworks, and Rest APIs, will play a pivotal role in creating a fast, responsive, and high-quality user experience, contributing to the mission of propelling the company towards global leadership in premium motorcycles with a sustainability focus.Descripción de la oferta Be the lead developer forourwebsite Frontend-Vue.js  Find ways toaccomplish the business needs of a fast-changing environment  Work in a self-learning process always focused on the fastest and best way to reach the goal  Listen to and share advice  Open-minded to criticism and open with mistakes so that we can all benefit and learn from the experience  Challenge things you believe could be improved  Celebrate success  All work documentation and communication in English  Approve all pull request before merging to production  Lead the developmentofthe main tasks of theFrontendinVue.js  Set the standards for clean, concise code that is stable and extensible  Communicate efficiently with graphic designers, external teams and product ownersto achieve business objectives  Be aware of the latest industry trends and suggest product improvements  Be a role model for new team members  Keep your backlog up to datePerfil del candidato A minimum of 5 years of experience working with JS  A minimum of 4 years of experience working with Vue.js or React.js  A minimum of 5 years of experience working with CSS frameworks  A minimum of 2 years working with Rest API's  Good understanding of best practices for building a scalable frontend  Knowledge of the AWS technology is a plus  Ability to manage and prioritize multiple work streams simultaneously  Proficient in EnglishOferta de empleo Lunch in the office at a reduced price  Free access to our gym  30 days of paid vacation  A very cool newly renovated office where you will work 5 days a week",Barcelona,,"['Responsable de Desarrollo', 'Categoría o nivelMando intermedio']",Jornada Completa,Al menos 4 años de experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/lead-front-vue/barcelona/3014731/,infoempleo
Python + IA - 100% Remoto España,Page Personnel,Hace 41 horas (Actualizada),Perfil con dos años de experiencia y especialización en python. Conocimientos de IA.,"Desarrollo en python. Creación y mejora de herramientas de la empresa.Creación de APISUtilización de herramientas de IA, ML, DL,...",España,Teletrabajo 100%,"['Programador', 'Programador Python', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 2 años de experiencia,Contrato Indefinido,Retribución sin especificar,2.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/python-ia-100-remoto/espanna/3014715/,infoempleo
Project Manager (Sector IT) Madrid,GRUPO CRIT,Hace 14 horas (Actualizada),"Entre los requisitos basicos se encuentra: Formación en ingeniería. Una mentalidad de resolución de problemas y resolverlos con iniciativa y liderazgo. Capacidad operacional y visión global de Grupo, para trabajar en equipo con cooperación y generosidad. Mente orientada a la lógica y el proceso, pero entendiendo la importancia de la comunicación y las personas. Disfrutar entendiendo cómo funciona algo en macro y en detalle. Sólido pensamiento analítico de los procesos de negocio y su impacto en el consumidor final Una habilidad natural para comunicarse e influir en las partes interesadas, con grandes habilidades de comunicación y persuasión. Más de 5 años de experiencia laboral relevante en un área de operaciones Un alto nivel de interlocución en inglés y español. Experiencia con Salesforce o CRM similar Orientación a la tecnología como palanca para resolver problemas de forma eficaz.","Desde el Grupo Crit estamos trabajando para una importante empresa en la busqueda de un/a director/a tecnologico, cuyas principales funciones seran: Análisis completo de la implementación de proyectos trasversales que tocan varias áreas o toda la compañía (Labor PM) Identificación de prioridades, owners, acciones, fechas clave, etc. Definición del roadmap de acciones, responsables, entregables Definición del modelo de seguimiento y ejecución Definición de los KPIs que controlan el éxito del proyecto Serás el líder y owner completo del éxito en la implementación del proyecto en tiempo y forma. Identificación clara y concisa de los requerimientos del proyecto. Tendrás que garantizar el funcionamiento eficiente de la operación, conforme a las regulaciones y normativas del sector. Identificar los costes de implementación y presentar un presupuesto y planificación. Tendrás el máximo nivel de interlocución con los responsables de cada área para poder garantizar el éxito en la implementación del proyecto Tendrás que tener una visión completa de cómo opera la compañía para garantizar la representación de todas las áreas en el resultado final. Tendrás que ser capaz de preparar presentaciones e informes para convencer a los responsables y directores en que tu solución es la óptima. Tienes que ser capaz de resolver problemas a los que nunca te has enfrentado utilizando un framework pragmático donde las soluciones estén basadas en evidencia, utilizando el dato en todos los sitios donde se pueda.Actualmente estamos ofreciendo: Contrato indefinido con cliente final Trabajo estable Salario anual Bruto atractivo Retribución variable Bonus anual Retribución flexible Plan de Beneficios Programa de Seguros",Madrid,,"['Jefe de Proyecto', 'Categoría o nivelMando intermedio']",Jornada Completa,Al menos 5 años de experiencia,Contrato De duración determinada,Retribución sin especificar,1.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/project-manager-sector-it/madrid/3014705/,infoempleo
Ingeniero Software (Inducción) Barcelona,THE WISE SEEKER S.L,Hace 41 horas (Actualizada),Estudios mínimos: Ingeniería electrónica.Ingles.Experiencia mínima: 2 años.Programación C.,"En esta emocionante posición, serás responsable del desarrollo de software para microcontroladores en aplicaciones de inducción profesional. Trabajarás en estrecha colaboración con un equipo global para diseñar sistemas de control, asegurándote de cumplir con las normas de seguridad aplicables, y llevarás a cabo el desarrollo y pruebas para garantizar la eficiencia y fiabilidad del equipo.Funciones:1. Desarrollo de software para microcontroladores.2. Diseño del control: lecturas analógicas, digitales y control de las mismas; comunicaciones (CAN, LIN, I2C).3. Diseño de software acorde a la normas de seguridad aplicable al sector (IEC60335-1 y IEC60335-2-36, IEC60730).4. Unit Test e Integration test del software con debuggador, osciloscopio, etc.5. Ayuda a la puesta en marcha en producción.6. Mantenimiento de producto.",Barcelona,Teletrabajo parcial,"['Analista-Programador', 'Programador', 'Programador C++', 'Ingeniero de Software C++', 'Categoría o nivelTécnico']",,Al menos 2 años de experiencia,,Retribución sin especificar,1.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/ingeniero-software-induccion/barcelona/3014688/,infoempleo
Desarrollador/a de Software Logroño (La Rioja),ANANDA GESTION ETT,Hace 41 horas (Actualizada),"Conocimientos sólidos en programación, en cualquier idioma.Comprensión profunda de la lógica informática y la resolución de problemas.Experiencia en el manejo de bases de datos.Capacidad para trabajar de manera autónoma y en equipo.Habilidades de comunicación efectiva.Conocimiento en administración.Residir en Logroño.","Estamos buscando un Desarrollador/a de Software para unirse a nuestro equipo en Logroño. Somos una empresa con sede central en Logroño y más de 30 años de experiencia en el sector administrativo.Con más de 40 delegaciones en todo el territorio nacional, nos sólida trayectoria a nivel nacional.Valoramos el conocimiento en lógica de programación, con independencia del lenguaje. Es fundamental contar con experiencia en el manejo de bases de datos, especialmente MySQL.Responsabilidades:Desarrollar y mantener la aplicación de software de la compañía.Colaborar con el equipo de desarrollo para diseñar y mejorar soluciones informáticas.Trabajar con bases de datos para gestionar y optimizar datos.Realizar pruebas y depuración de código para garantizar la calidad del software.Mantenerse al tanto de las tendencias tecnológicas y las mejores prácticas de programación.Nota: No se requieren habilidades lingüísticas específicas para esta posición. Esta oferta de empleo se rige con el compromiso por la igualdad de oportunidades de acceso al empleo. No se solicitará información sobre cuestiones personales que puedan provocar discriminación alguna.",Logroño (La Rioja),,"['Analista-Programador', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 3 años de experiencia,Contrato Indefinido,Retribución sin especificar,1.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/desarrolladora-de-software/logronno/3014663/,infoempleo
Desarrollador Fullstack Madrid,THE WISE SEEKER S.L,Hace 41 horas (Actualizada),"Al menos 3 años de experiencia como desarrollador Full StackPerfil que venga de Startup o entornos agilesAl menos 1 año de experiencia en desarrollo con JavaScript (React y/o Next) y/o Python.Competencia en entornos Linux.Experiencia con bases de datos relacionales (PostgreSQL, MySQL).Experiencia con entornos cloudConocimientos en HTML/CSS.Experiencia en el uso de control de versiones Git.Familiaridad con React.Experiencia con DockerDeseable:Stack tecnológico: React y Django/NinjaAPIExperiencia con Google CloudConocimientos y experiencia en definición de arquitecturas de softwareConocimientos de CI/CD preferiblemente con github",Contribuir en el desarrollo y mantenimiento de Snippet y Myme.Implementar soluciones técnicas innovadoras en colaboración con equipos multidisciplinarios.Mantener un compromiso con la calidad y las buenas prácticas de desarrollo.,Madrid,Teletrabajo parcial,"['Analista-Programador', 'Programador', 'Programador Full-Stack', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 2 años de experiencia,Contrato Indefinido,Retribución sin especificar,6.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/desarrollador-fullstack/madrid/3014414/,infoempleo
System Security Engineer Estados Unidos,THE WISE SEEKER S.L,Hace 31 horas (Actualizada),"-Due to the sensitivity of customer related requirements, U.S. Citizenship is required.-Candidate must have a master's degree in a specialized field plus a minimum of 4 years of applicable experience; or, a bachelor's degree in the specialized field plus 5 years of applicable experience; or, a bachelor's degree in any field with a minimum of 7 years of specialized experience.-Must have a Top Secret clearance.-Candidate will provide subject matter expertise in the system engineering technical review (SETR) process and through each adaptive acquisition framework pathway.-Must have thorough understanding of engineering principles and analyze a wide range of technology principles.-Must have familiarity with security requirements (e.g., anti-tamper, exportability features, supply chain risk management, secure design, defense-in-depth and cybersecurity implementation) required.-Must have DAU Courses such as ACQ 160 or ENG 260 or equivalent experience.-Must have a DoD Top Secret Clearance","At The Wise Seeker, we're seeking a System Security Engineer subject matter expert (e.g. anti-tamper, exportability features, and secure design) to represent program protection equities in the system engineering technical review (SETR) process to ensure adequate protection measures are incorporated across the entire customer portfolio and throughout each’s product’s lifecycle.The System Security Engineer (SSE) will provide Technology Protection and engineering assistance to an Army acquisition program. Apply scientific and engineering principles to identify security vulnerabilities in hardware, software, or firmware and develop risks and mitigations associated with these vulnerabilities. Position will play a key role in protecting critical technology and recommending appropriate countermeasures and program protection strategies.Tasks-Document program protection planning in the systems engineering plan (SEP), program protection plan (PPP) and system security plan (SSP).-Analyze and assist engineering and program management with program protection requirements analysis.-Provide technical support to identify vulnerabilities for CPI, mission critical functions, mission critical components, and recommend appropriate security controls.-Support system threat assessments, vulnerability identification, security risk analysis, and security test and evaluation.-Provide System Security Engineer subject matter expertise in meetings, system engineering technical review (SETR) process, and through each adaptive acquisition framework pathway.",Estados Unidos - Maryland,Teletrabajo parcial,"['Técnico de Seguridad', 'Técnico de Sistemas', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 4 años de experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/system-security-engineer/maryland/3014259/,infoempleo
Senior .NET Developer Otros Paises,THE WISE SEEKER S.L,Hace 41 horas (Actualizada),"-­ Have 6+ years of experiences-Bachelor‘s degree in computer science or equivalent-Proficiency in C# and .NET Core framework-Good communication in English-Be hardworking, passionate and possess a can­do attitude.-Be good at critical, logical thinking and problem­solving skill-Be assertive, honest and trustworthy-Happy to deal with the opposite and different ideas-Be a good team player and patient person-Be a self­learner","At The Wise Seeker, we are looking for a Senior .NET Developer to work with one of our clients located in Vietnam: a company that helps brands and retailers effortlessly retouch product images for e­commerce to boost their online sales and reduce returns.Working Location: HanoiSector: IT  Tasks-We are looking for a great .NET developer who is proficient with C#. -Your primary focus will be on developing back­end components, data layers and API. You will ensure that these -components and the overall application are robust, scalable and easy to maintain. -You will coordinate with the rest of the team working on different layers of the infrastructure -Therefore, a commitment to collaborative problem solving, sophisticated design, and quality product is important.-Architect and build robust, scalable, highly available and reliable systems-Building reusable components and front­end libraries for future use-Proactively research for solutions to problems-Work closely with the client teams and product design team to iterate quickly on new features and experiments-Participate in design discussions, code reviews and group brainstorming sessions-Deliver high quality code following best practices for better performance, user experience, and reusability-Troubleshoot existing code bases, hunt down nasty bugs and refactor code",Otros Paises - Hanoi,,"['Programador .NET', 'Ingeniero de Software C#', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 6 años de experiencia,Contrato Indefinido,Retribución sin especificar,1.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/senior-net-developer/hanoi/3014229/,infoempleo
Beca soporte informático. Santa Cruz de Tenerife,TECH España,Hace 30 horas (Actualizada),"-  Estar cursando en la actualidad una formación en Ciclo Medio, Superior o Grado Universitario en Informática, electrónica o formaciones afines.- Disponibilidad de realizar un convenio en prácticas con su centro de estudios (Requisito imprescindible).","1.	Reparación de equipos portátiles.2.	Formación como Soporte IT (Se les formaría en entornos de trabajo basados en Tickets-JIRA).3.	Resolución de incidencias (Windows, Android, PowerShell, Mac, Azure...).4.	Resoluciones presenciales y remotas con usuarios.5.	Formación en conocimientos básicos de Datos (SQL).",Santa Cruz de Tenerife,,['Categoría o nivel'],Jornada Completa,No se requiere experiencia,Contrato Prácticas,Entre 5.000 y 6.000€ Brutos/anuales,1.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/beca-soporte-informatico/santa-cruz-de-tenerife/3014563/,infoempleo
Analista de ciberseguridad N2 con Discapacidad Madrid,Page Personnel,Hace 8 días,posesión del certificado de discapacidad +1 año de experiencia en un CySOCProtocolos TCP/IP  redes LAN/WLAN.Seguridad SIEMsSeguridad EDRPhishing y fraude,"Como Analista de Ciberseguridad de nivel 2 trabajarás en un equipo multidisciplinar dando servicio, análisis, actuación y prevención de ciberseguridad de una clientela internacional. El inglés necesario es de nivel técnico (B1/B2), y las habilidades requeridas principalmente son de análisis de problemas, comunicación y resolución.#lgd, #impactopostivoDescripción de la ofertaEntre tus funciones, tendrás que:  Gestionarás el proceso completo de incidencias de seguridad para su detección, análisis, respuesta y resolución, de nivel 1 y 2 .  Aplicarás escalamientos inmediatos como definición del proceso de incidentes de seguridad.  Monitorizarás y establecerás la categoría de correspondencia de cada incidente de seguridad identificando verdaderos y falsos positivos basados ??en los casos de uso correspondientes en producción.  Registrarás las incidencias en sistema de ticketing y Actividades básicas de triaje.  Interacción y comunicación con el cliente.  Garantizarás la calidad de la respuesta que respalda los elementos de la investigación y resolución según sea necesario y, cuando sea necesario, informar incidentes que involucren violaciones potenciales o reales del cumplimiento de la seguridad de protección.  Responsable de mantener el control de garantía de los SLA definidos para cada tipo de incidente de seguridad definido por cliente asegurando su cumplimiento.#lgd, #impactopostivoPerfil del candidatoQué hará que tengas una candidaura ideal:  OBLIGATORIO: estar en posesión del certificado de discapacidad igual o superior al 33%.  Al menos un año de experiencia en un CySOC  Conocimientos necesarios:  ---Protocolos TCP/IP, redes LAN/WLAN. Accesos remotos, arquitectura DMZ y monitoreo de redes.  ---Seguridad SIEMs: (qradar, logRythm, Sentinel, Mcafee o similares).  ---Seguridad EDR (Crowstrike, Paloalto, Microsoft Defender o VMWare carbon back).  ---Nociones en Phishing y fraude de identidad. Qué deberás aportar al equipo:  Disponibilidad de turnos rotativos 24/7.  Capacidad forense analítica.  Conocimiento en malware sandboxes.  Experiencia en herramientas de testeo.#lgd, #impactopostivoOferta de empleoContrato indefinido.28-30k/año.Desarrollo de carrera.Modalidad híbrida: teletrabajo entre 2 y 3 días a la semana.Paquete de beneficios. #lgd, #impactopostivo",Madrid,,"['Técnico de Seguridad', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 1 año de experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/analista-de-ciberseguridad-n2-con-discapacidad/madrid/3014390/,infoempleo
Técnico/a de cableado 1553414a Zaragoza,Adecco,Inscripción cerrada,Se requiere FP Grado medio y Al menos 1 año de experienciaIngles nivel intermedioCoche propio,"¿Estás buscando un nuevo reto profesional?Si tienes experiencia como Técnico/a en montaje de racks y cableado, si quieres trabajar en una de las empresas mas potentes a nivel mundial, esta es tu oportunidad!¿Cuáles serán tus funciones?Trabajarás realizando cableado de rack de equipos, integración de fibras y configuración con máxima calidad y normativas en una de las empresas mas potentes a nivel mundial.Requisitos:-Disponibilidad de vehiculo propio-Nivel de ingles intermedio, se requiere utilizar el idioma en el puesto de trabajoSi te interesa, no lo dudes, inscríbete!En Adecco creemos en la igualdad de oportunidades y apostamos por el Talento Sin Etiquetas",Zaragoza,,"['Técnico de Redes', 'Categoría o nivelTécnico']",,Al menos 1 año de experiencia,,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/tecnicoa-de-cableado-1553414a/zaragoza/3014388/,infoempleo
.NET Technology Team leader Madrid (Madrid),THE WISE SEEKER S.L,Hace 41 horas (Actualizada),"-You have a proven experience of at least 2 years acting as a Team Leader of software development team and at least 4 years as .NET Developer-You have a proven experience in leading and coaching a team-You hold a PhD or Master's degree in a field of information technologies.-You are a quality oriented personality-You are open minded team player, ready to adapt to the changing needs-You have excellent communication skills-You have strong agile mindset-You are committed to deliver, pragmatic and solution oriented.-Experience in delivering containerized software is a plus-Experience in leading .NET development teamExperience in a Wholesale environment is a plus-Languages: fluent English is necessary.As part of your profile, you also possess the following skills:-Experience in managing software development team-Ability to setup and maintain Agile development environment-Strong knowledge of .NET framework and C#-Deep understanding of OOP principals-Strong knowledge of MS SQL databases-Strong knowledge of WCF Webservices and their hosting environment-Working experience with such technologies as WPF, TPL, LINQ-Understanding concepts of design patterns such as DI, MVC, MVVM-Experience with ORMs such as Entity Framework or NHibernate-Experience with GIT or a similar versioning system-Security minded is a plus. For example, familiar with secure IT delivery (code review, security assessments, intrusion testing…).-Experience in the public cloud (Azure and AWS) (will be considered as a plus)",".NET development team is focused on development, support, and maintenance of Windows Desktop Applications such as Pricing Tools for our Voice business, internal reporting tool, security automation tools and others.You will be able to drive the next step of the software architecture evolution of .NET applications, like containerization and micro services, as well as contribute to a continuous growth of DevOps initiatives in strive to build solid foundation for Automation Testing and Continuous delivery.In this role, you will:-Lead the .NET Development team-Support business in creating Roadmap for your products-Be an Agile coach-Own and maintain capacity plan for your team-Be a visioner and owner of technical roadmap of the team-Drive DevOps processes of your team and contribute to DevOps practices in whole organization-Maintain healthy and cooperative micro-climate in your team-Design and implement solutions to fulfil requirements described in User Stories-Take an active participation in architectural and design discussions-Peer Code Review using GitLab-Be responsible for the quality of the solutions delivered and fix encountered defects in a timely manner",Madrid,,"['Responsable de Desarrollo', 'Arquitecto de Software .NET', 'Jefe de Proyecto .NET', 'Categoría o nivelMando intermedio']",Jornada Completa,Al menos 6 años de experiencia,Contrato Indefinido,Entre 60.000 y 65.000€ Brutos/anuales,1.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/net-technology-team-leader/madrid/3014240/,infoempleo
Junior System and Network Engineer Madrid (Madrid),THE WISE SEEKER S.L,Hace 19 horas (Actualizada),"-Engineering degree in Telecommunications, Computer Science or related field.-Technical knowledge of telecommunication protocols; voice and mobile core networks (VoIP, SIP, SS7, LTE, GTP, etc.).-Knowledge in programming language (Java, C) and scripting.-Hands-on experience in Linux OS environments.-Notions of computer networks and protocols.-Analytical thinking, ability to solve problems, strong interpersonal skills.-Fluency in English (written and spoken).-Acquaintance with DevOps concepts and tools (CI/CD, Gitlab, Ansible, containers, etc.) is an asset.","The System and Network Engineers to participate in the design, development, integration, and support of advanced telecommunication solutions in the voice, roaming, messaging, signalling and IoT domains.As Junior System and Network Engineer you will contribute to activities across the entire project life cycle of in-house developed solutions, from testing to the launch into production, and support and maintenance.In close collaboration with the software developer engineers and with a DevOps mindset, you will:-test and validate new developments.-deploy in production and other validation environments.-automate operations tasks (installation, monitoring, etc.)-respond to emergencies and take part in a L3 guard duty service.-debug software issues in lab environments-monitor service availability and performance.-take proactive and reactive maintenance actions.",Madrid,,"['Técnico de Redes', 'Técnico de Sistemas', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 1 año de experiencia,Contrato Indefinido,Retribución sin especificar,6.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/junior-system-and-network-engineer/madrid/3014234/,infoempleo
Programadores/as Almería (Almería),JCARRION,Hace 41 horas (Actualizada),Experiencia como programador Front Angular o Java.,"Con motivo de la mejora continua de nuestros procesos de negocio y nuestros sistemas de información, precisamos incorporar Programadores/as en nuestros servicios centrales en ALMERÍA.",Almería,,"['Programador', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 1 año de experiencia,Contrato Indefinido,Retribución sin especificar,4.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/programadoresas/almeria/3014233/,infoempleo
Tutor/a de teleformación SAP Bussiness Inteligence España,Empresa del sector educación,Hace 41 horas (Actualizada),"itulación universitaria o FP, en el ámbito (educación reglada). Experiencia profesional (mínimo 1 año) en el ámbito. Experiencia docente en modalidad de teleformación o diploma de formador en teleformación. Capacitación para la docencia y/o experiencia docente. Valorable discapacidad",Se precisa tutor/a para tutorizar cursos de teleformación en el área de SAP BUSSINESS INTELLIGENCE,España,Teletrabajo 100%,"['Tutor', 'Formador Técnico', 'Categoría o nivelMando intermedio Técnico']",Jornada Parcial,Al menos 1 año de experiencia,Contrato Fijo discontinuo,Retribución sin especificar,5.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/tutora-de-teleformacion-sap-bussiness-inteligence/espanna/3014205/,infoempleo
Scraping engineer Team lead (Python/JavaScript + PHP) España,Page Personnel,Hace 41 horas (Actualizada),"At least 5 years of experience making web scraping (JavaScript or Python).  Knowledge of scraping tools such as Scrappy or Puppeteer.  Experience working with PHP (Symfony).   Valuable automation technologies such as Selenium.   Valuable experience AWS, Docker.","Opportunity to keep growing Hands-on Team lead (Scrapping + PHP) of a 4 developers within an international company.  Participate in the development of new functionalities using PHP and Symfony.  Participate in the design of the new architecture.  Lead the technical aspects of the project, providing guidance and expertise to the other team members.  Develop additional features on existing applications.  Ensure the scalability of the product maintaining the high quality of the code using PHP unit.  Modelling, designing, coding, testing automation, scripting, packaging",España,Teletrabajo 100%,"['Responsable de Desarrollo', 'Categoría o nivelMando intermedio']",Jornada Completa,Al menos 4 años de experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/scraping-engineer-team-lead-pythonjavascript-php/espanna/3014147/,infoempleo
