titulo,empresa,fecha,herramientas,descripcion,ubicacion,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,portal
Gestor/a Soporte Técnico Jueves a Domingo,JAZZPLAT ESPAÑA,ace 2d,"['Agentes', 'Fidelización', 'Telecomunicaciones', 'Ventas', 'Soporte técnico', 'Atención al cliente']","Me interesan las nuevas tecnologías y tengo fluidez en el manejo de las herramientas informáticas, ¡Mi sitio está aquí!¡Quiero trabajar en Orange!Jazzplat, plataforma interna del Grupo me busca a mí, y las funciones que tendré son:- Soporte Técnico a nuestros clientes a través del diagnóstico y solución de incidencias- Oferta y seguimiento de servicios y productos añadidos",Guadalajara,Telecomunicaciones, jornada indiferente,al menos 1 año,de duración determinada,15.000€ - 18.000€ Bruto/año,2024-01-26,infojobs
Técnico/a de Inventario informático,Grupo Oesía,ace 2d,[],"¡En Grupo Oesía estamos creciendo! Nos gustaría contar contigo para nuestra siguiente oferta de empleo:Queremos ampliar el equipo con un/a Técnico/a de Inventario informático para incorporarse de forma presencial en Madrid (zona Fuencarral) para importante cliente del mundo de las telecomunicaciones.¿Nos conoces? Grupo Oesía es una multinacional española dedicada a la ingeniería tecnológica y digital, que desarrolla e implementa proyectos en todo el mundo. Con más de 3.400 profesionales en 19 sedes corporativas repartidas entre España y Latinoamérica, genera empleo de calidad y ayuda a crecer a las personas en carreras técnicas.Desde Grupo Oesía desarrollamos tecnologías y servicios con el compromiso de crear un futuro en el que la tecnología responda a los retos del planeta y sus habitantes, para crear un mundo mejor, más eficiente, seguro, y sostenible.A lo largo de 45 años de trayectoria, Grupo Oesía ha estado inmersa en la innovación de productos y servicios que benefician a más de 2.000 millones de personas de todo el mundo en los ámbitos de la sanidad, la defensa y la seguridad, las telecomunicaciones, las finanzas, la logística y el sector agroalimentario.¿Qué buscamos?Buscamos un/a Técnico/a de Inventario informático con al menos 1 año de experiencia realizando tareas de control y gestión de inventario informático.Tu labor principal será dar soporte y gestion del parque de terminales móviles de la compañía, por lo que necesitamos un buen manejo den BBDD (Excel) y nociones básicas de soprote informático para móviles.¿Cuáles serán tus funciones?* Control del parque de terminales móviles de la compañía.* Gestión del inventario.* Colaboración en soporte técnico de los terminales móviles (actualizaciones, instalación de APP corporativas, configuración básica, etc)* Manejo de inventario en BBDD y físicamente.¿Qué te ofrecemos?&#8239;* Trabajar en una multinacional reconocida como una de las mejores empresas para trabajar en 2023, según Actualidad Económica y Forbes.* Proyectos tecnológicos estables e innovadores para clientes punteros de ámbito nacional e internacional.* Horario flexible y jornada intensiva los meses de verano.* Plan de carrera: ofrecemos una atractiva carrera profesional en función de la experiencia y potencial personal dentro de una compañía en continua evolución y con un sólido crecimiento.&#8239;* Acceso gratuito a varias plataformas de formación para que tengas acceso a un amplio catálogo multidisciplinar.&#8239;* Retribución flexible.* Una compañía igualitaria, diversa y con gran Responsabilidad Social Corporativa.* Un ambiente laboral positivo, saludable y de cooperación. Trabajar en equipo es el pilar de los éxitos de los proyectos de la compañía.",Madrid,Servicios y tecnología de la información, jornada completa,al menos 1 año,otros contratos,o disponible,2024-01-26,infojobs
TECNICO MANTENIMIENTOS - GRADO MEDIO ELECTRÓNICA.,PORTILLO TELECOMUNICACIONES,ace 2d,"['Mantenimiento', 'Control de accesos', 'Telecomunicaciones', 'Control de acceso', 'CCTV', 'Sistemas eléctricos']","Grupo Portillo, especializada en instalaciones y mantenimiento de sistemas eléctricos de baja, media y alta tensión, en sistemasde telecomunicaciones, voz datos, control de accesos, CCTV, megafonía, interfonía, anti-intrusión, en PCI, detección deincendios.Buscamos TECNICO DE MANTENIMIENTOS CON GRADO MEDIO DE ELECTRÓNICA.Tareas a desarrollar: Mantenimiento eléctrico y electrónico EN C.P. ESTREMERA. (28595)",Estremera,Telecomunicaciones, jornada completa,al menos 1 año,indefinido,21.000€ - 22.000€ Bruto/año,2024-01-26,infojobs
Consultor IBM Máximo,SII Group Spain,ace 2d,[],"¡Si tienes experiencia en IBM Máximo y quieres crecer dentro de un proyecto puntero, únete al equipo de SII Group Spain y ayúdanos a impulsar la transformación digital e innovación!Estamos buscando un Consultor IBM-Maximo para unirse a nuestro equipo dinámico y contribuir al éxito continuo de nuestros proyectos que realizaría las siguientes funciones:Apoyo a la determinación de la estrategia y planificación de la implantación del EAM (Enterprise Asset Management) IBM-Máximo.Apoyo a la definición de la estrategia de sustitución, evolución o integración de las diferentes herramientas y aplicaciones de Adif asociadas a la gestión deactivos y mantenimiento.Apoyo a la definición funcional de los diferentes módulos a implantar a partir de los procesos de gestión de activos y de mantenimiento.Apoyo a la definición de los interfaces entre el EAM y los sistemas legados.Apoyo a la realización de pruebas y validación de las funcionalidades y contenidos desplegados.Apoyo a la formación interna Adif-Isdefe en la herramienta IBM-Máximo.Apoyo a la definición y estructuración de los datos para su óptima gestión a lo largo del ciclo de vida.Apoyo a la generación de la documentación y otros requisitos que sean necesarios para la implementación de un Sistema de gestión de activos ISO 55000.Apoyo y asesoramiento en otras actividades diversas relacionadas con la implantación de la herramienta de EAM.Requisitos:Posibilidad de acudir presencialmente a nuestras oficinas en Madrid (Moncloa - Chamartín), modelo híbridoIngeniería Industrial, Ingeniero de Telecomunicaciones, Ingeniero Informático o Ingenierías del ámbito de los Sistemas de InformaciónOtras Titulaciones Técnicas en el ámbito de los Sistemas de Información10 años: Experiencia en proyectos de implantación de la herramienta IBM-Máximo para la gestión de activos en grandes organizaciones Nota: Grandes organizaciones serán consideradas aquellas que tengan más de 250 empleados5 años: Experiencia en análisis funcional para proyectos de integración de Sistemas5 años: Experiencia en la implantación de proyectos de integración y gestión de Bases de DatosNivel Avanzado: Conocimientos en metodologías de gestión de activosNivel Avanzado: Conocimientos en Herramientas de Gestión de Bases de DatosNivel Avanzado: Conocimientos en ERPs y Sistemas de Gestión Logística (módulos de mantenimiento, almacenamiento y compras)En SII Group Spain damos respuesta a todo tipo de industrias y sectores a través de Servicios y Soluciones Digitales y de IT, Ingeniería, Consultoría y BPO, ofreciendo una propuesta de valor integral para afrontar desafíos de transformación digital e innovación.En SII Group cotizamos en la bolsa de París, y estamos presentes en 18 países y contamos con más de 15.000 profesionales, quienes son la parte fundamental de nuestro éxito.Somos ""Great Place to Work"",certificación que se otorga anualmente a los mejores empleadores del mundo, y que nos avala como una organización con una cultura de alta confianza, capaz de atraer y fidelizar talento. Formamos un equipo unido y cohesionado, y juntos trabajamos para cumplir las expectativas de nuestros clientes a través de la calidad, la confianza y la transparencia, respetando siempre nuestros principios y valores con un enfoque sostenible.Por Qué Deberías Unirte a Nosotros:Innovación Constante : Trabajarás en proyectos innovadores y desafiantes que te permitirán seguir creciendo como profesional. Trabajamos con grandes clientes y proyectos punteros nacionales e internacionales.Cultura de Colaboración : Formarás parte de un equipo colaborativo y diverso que valora la comunicación abierta y las ideas frescas.Desarrollo Profesional : Ofrecemos oportunidades de desarrollo continuo y capacitación para ayudarte a avanzar en tu carrera. Formarás parte de nuestras tribus de expertos, quienes aportan un gran valor añadido a todos nuestros proyectos",Madrid,"Programación, Consultoria y otras Activ. informaticas", jornada completa,más de 10 años,indefinido,40.000€ - 56.000€ Bruto/año,2024-01-26,infojobs
Programador Delphi,Servicios Integrales de Informática,ace 5d,"['Delphi', 'Oracle PL/SQL']","Serinsa SL precisa incorporar para su organización programadores /as delphi.Requisitos obligatorios:· Formación FP Informática o Grado Universitario.Programador Delphi:Experiencia de, al menos, 1 años en Oracle SQL y PL/SQL. Experiencia de, al menos, 1 año desarrollando bajo la tecnología Delphi, preferiblemente versión 10, o superior. Conocimientos de componentes JFs. Trabajo presencial parcial. Es imprescindible residir en Mallorca..SE OFRECE - Contrato fijo. Es trabajo estable y de calidad.- 23 Días laborales de vacaciones + el 24 y el 31 de Diciembre libres.- Ambiente de trabajo altamente técnico y profesional. Buen ambiente de trabajo. - Proyectos interesantes. Son proyectos grandes en este caso relacionados con aviación",Palma De Mallorca,Servicios y tecnología de la información, jornada completa,al menos 2 años,indefinido,25.000€ - 33.000€ Bruto/año,2024-01-26,infojobs
"Azure Cloud Architect (BRUSELAS, Instituciones Europeas)",abde business consulting,ace 5d,"['Microsoft Azure', 'Cloud Computing']","OFERTA LABORAL: Azure Cloud Architect** Contrato indefinido + Proyecto de larga duración.** Salario: 4.000 - 4.500 eur  NETO / MES (según experiencia y formación aportada).** Interesante proyecto en Instituciones Europeas (Eurocontrol).+ Pagamos el primer mes de alojamiento en Bruselas.*** Lugar de trabajo: Bruselas (hay que cambiar el lugar de residencia a dicha ciudad)***___ ___ __ ___ ___ ___ ___ ___ ___ ___*** IMPRESCINDIBLE: NIVEL ALTO DE INGLÉS, CAPAZ DE TRABAJAR CON FLUIDEZ DESDE EL PRIMER DÍA, TANTO HABLADO COMO ESCRITO .***** NECESARIO: Tener una nacionalidad europea para poder residir y trabajar en Bruselas ***___ ___ __ ___ ___ ___ ___ ___ ___ ___Language: EnglishCandidate has to agree for being twice per month in the officeJob requirements:EXPERIENCE:-    Azure certification -    7+ years of professional experience-    2+ years of architect role experience -    A broad knowledge over cloud infrastructure, network, OS management, security, lifecycle-    Experience with Terraform and/or native Azure automation-    Knowledge of CI/CD concepts and toolset (i.e. Jenkins, Azure DevOps, Git)-    Must be adaptable to work in a varied, fast paced exciting, ever changing environment-    Good analytical and problem-solving skills to resolve technical issues-    Understanding of Agile development and SCRUM concepts a plus-    Understanding and knowledge of IT standards and controls-    Knowledge of financial models and budgeting-    Excellent planning and organizational skills-    Excellent written and verbal communication skills-    Experience with Kubernetes architecture and tools a plus-    Togaf is a plusResponsibilities:  -    Having E2E responsibility for Azure landscape of our customers-    Define high-level migration plans to address the gaps between the current and future state-    Writing technical documentation, instructions, (including high and low level designs)-    Managing to code release and operational tasks within a global team with a focus on automation, maintainability, security and customer satisfaction-    Make usage of CI/CD framework to rapidly support lifecycle management of the platform-    Help the enterprise architect define metrics to measure and demonstrate enterprise technology value.-    Consult directly with customer, cooperate with all interested/involved parties & support groups-    Assure good relations with customer -    Work with various Atos and 3rd party teams to resolve incidents and implement changes-    Implement and drive automation and self-healing solutions to reduce toil-    Enhance error budgets and hands on design and development of solutions to address reliability issues and/or risks-    Support ITSM processes and collaborate with service management representatives.",Barcelona,Servicios y tecnología de la información, jornada completa,más de 5 años,indefinido,70.000€ - 80.000€ Bruto/año,2024-01-26,infojobs
Analista Programador/a Magento100% Teletrabajo,Vipirsa,ace 2d,"['Trabajo en equipo', 'Magento']","¿Quieres unirte a una compañía donde su verdadero motor son las personas? Si te apasiona contribuir en la captación de talento y ser partícipe del crecimiento ¡Queremos conocerte!Desde VIPIRSA, empresa especializada en proyectos de desarrollos tecnológicos y en búsqueda de auténticos talentos, estamos buscando para incorporarse a la compañía ubicada en Madrid, Analista Programador/a Magento.¿REQUISITOS NECESARIOS?Perfiles con conocimiento Back, con experiencia mínima de 3 años en Magento versión 2¿QUÉ TE PODEMOS OFRECER?- Banda salarial: negociable según experiencia aportada.- Estabilidad- Proyectos enfocados en tu crecimiento profesional.- Ubicación: Madrid, 100% Teletrabajo- Ambiente positivo y colaborativo- Trato cálido y cercano, además de un agradable proceso de selección :)Si te planteas un cambio laboral, quieres formar de nuestro equipo, no lo dudes... ¡Apúntate con Vipirsa!",Madrid,Servicios y tecnología de la información, jornada completa,al menos 3 años,indefinido,36.000€ - 39.000€ Bruto/año,2024-01-26,infojobs
"SH360, Informático especializado en software, Sada, EXT",HUMAN FACTOR INNOVATION SL.,ace 2d,"['sistemas informáticos', 'redes', 'soporte informático', 'videoporteros', 'videoteléfonos', 'Odoo', 'Windows', 'Linux', 'macOS']","SH360 es una empresa de servicios orientados al sector hotelero y basados en la aplicación de nuevas tecnologías en la gestión turística. La mejora continua y la actualización de nuestros productos es nuestra máxima, y es por ello queremos reforzar nuestra empresa con un perfil de informático/a con especialidad relacionada con el software para realizar tareas de desarrollo de producto y optimización de los flujos de trabajo de la empresa. Entre sus funciones estarán: - Administración windows/linux- Soporte microinformática: atención a incidencias de sistema operativo (windows y macOS),ofimática, aplicaciones corporativas (Odoo, Google Workspace, etc.), hardware, etc.- Soporte a incidencias de comunicaciones.- Soporte técnico a proyectos de expansión hotelera: comunicaciones, videovigilancia, etc.- Configuraciones avanzadas de equipos informáticos y de comunicaciones, automatizaciones,etc.Se ofrece- Empresa joven y dinámica, con un producto nuevo en pleno desarrollo.- Muy buen ambiente laboral y de trabajo en equipo.- Flexibilidad horaria- Posibilidades de desarrollo profesional- Salario:¿ 18 K - 20.K € anuales + bonus + incentivos¿ Portátil + teléfono móvil de empresa",Sada,"
Informática y telecomunicaciones -
													Hardware, redes y seguridad
", jornada completa,al menos 1 año,indefinido,18.000€ - 20.000€ Bruto/año,2024-01-26,infojobs
ADMINISTRATIVO CONTABLE,ANT Noves Tecnologies,hace 2d,"['a3erp', 'Sage Software']","ANT Noves Tecnologies, empresa líder en el desarrollo de aplicativos de gestión comercial busca ADMINISTRATIVO CONTABLE para reforzar su departamento de administración, atención al cliente y facturación. Se encargará del seguimiento de nuestra sólida cartera de clientes para lo que será imprescindible tener sentido de la responsabilidad y un buen trato con cliente final.    Buscamos gente comprometida, con ganas de integrarse al equipo existente aportando experiencia y conocimientos.Ofrecemos:- Pasar a formar parte de una compañía líder en su sector, económicamente solvente y en pleno proceso de expansión.- Ofrecemos la oportunidad de formarse contablemente. - Estabilidad laboral.- Estabilidad económica.- Formar parte de un buen ambiente de trabajo.- Plena confianza por parte de la compañía en la toma de decisiones.",Barcelona,"Programación, Consultoria y otras Activ. informaticas", jornada completa,al menos 2 años,indefinido,21.000€ - 27.000€ Bruto/año,2024-01-26,infojobs
Analista Programador/a Xamarin.,Ibermática,ace 2d,[],"¡En Ayesa crecemos juntos! Cada profesional de nuestra empresa es importante para nosotros, nos ayudan a crecer de manera diversa y gracias a ellos somos más de 12.000 personas trabajando con el mismo objetivo en más de 40 países.Si eres una persona entusiasta, te apasiona la #tecnología y buscas un nuevo reto profesional ¡Este es tu sitio!Buscamos ampliar nuestro equipo con un/a Analista Programador/a en XAMARIN.FORMS.¡Anímate a dar el salto!¡Te estamos esperando!¿Qué buscamos?Experiencia de 5 años en las siguientes tecnologías:XAMARIN .FORMSAGILE / SCRUMOfrecemos un camino lleno de aventuras: ¡Llega hasta donde tú quieras! Crece con nuestros programas de desarrollo! Te ayudaremos a marcar tu itinerario de futuro anualmente participando en proyectos vanguardistas con los mejores profesionales del sector.Porque lo importante sois tú y los tuyos : contamos con políticas que facilitan la conciliación entre la vida profesional y personal: Flexibilidad horaria, Smart Job y jornada intensiva en verano. Tú decides cómo usar tu dinero: disfruta de nuestra retribución flexible, contamos con: Seguro médico, Ticket Restaurant, Guardería y Transporte. Plan Bienestar descuentos en viajes, tecnología, formación, deporte, belleza y ¡muchos más. Diviértete participando en los diferentes concursos y actividades que organizamos: ¿te gusta el deporte, escribir, la fotografía? Todo tiene cabida.¡Actualízate! apostamos por un aprendizaje continuo, contamos con formación especializada, certificaciones e idiomas.¡Deja tu huella! Impacta con nuestros proyectos de voluntariado social.¡Únete a la multinacional española tecnológica referente en el mundo! Atendiendo a la Ley Orgánica 3/2007, de 22 de marzo, Ayesa Advanced Technologies se ha marcado como objetivo promover la defensa y aplicación efectiva del principio de igualdad entre hombres y mujeres, evitando cualquier tipo de discriminación laboral por razón de sexo, garantizando así las mismas oportunidades de ingreso.",Barcelona,OD 24EN.096, jornada completa,al menos 2 años,indefinido,o disponible,2024-01-26,infojobs
Desarrollador IOS (100% Remoto),BCNC GROUP,ace 2d,"['IOS', 'swift', 'CocoaTouch', 'MediaPlayback', ' Security Framework', 'cocoapods', 'mantle', ' AFNetworking', 'Bolts', 'Unit Testing']","En BCNC GROUP estamos buscando incorporar un Desarrollador IOS para formar parte del departamento de Video y Entretenimiento, de una de las más importantes empresas de Telecomunicaciones a nivel mundial.Funciones:- Colaborar con el desarrollo de aplicaciones móviles (IOS) para consumo de Video OTT.Requisitos:- Experiencia en desarrollo tanto con Objetive C como con Swift.- Experiencia con CocoaTouch, MediaPlayback, External Accessory and Security Framework.- Manejo de dependencias con cocoapods.- Librerías de terceros como Mantle, AFNetworking (Alamofire), Bolts.- Unit Testing con XCTest Framework y librerías de moqueo como OCMock.Conocimientos:- Manejo de notificaciones Push.- Creación y consumo de RESTfull APIS.- Control de versiones, GIT.- Herramientas de integración continua (Jenkins, Sonar).¿QUE OFRECEMOS?- Contrato indefinido.- Estabilidad laboral.- Trabajar en importantes proyectos con las tecnologías más punteras.- Posibilidad de realizar proyectos internacionales.- Desarrollo de carrera real y formación.- Retribución flexible (guardería, restaurante, seguro médico y transporte).-Flexibilidad horaria y jornada intensiva viernes, julio y agosto.BCNC GROUP es una empresa de ingeniería y tecnología con operaciones en España, UK, Alemania, Francia y Suecia. Trabajamos con las multinacionales más prestigiosas de Europa ayudándoles a implementar sus proyectos estratégicos",Barcelona,AD BCNC Group, jornada completa,al menos 4 años,indefinido,30.000€ - 36.000€ Bruto/año,2024-01-26,infojobs
Application Security Analyst - 100% Teletrabajo,Azertium IT Global Services SL,ace 2d,"['Pentesting', 'Blue Team', 'Red Team', 'Application Security', 'Seguridad', 'Revisión de Código', 'Auditorías de seguridad']","Estamos ampliando el equipo!!! En Azertium IT te buscamos!!!! Buscamos incorporar Application Security Analyst , para formar parte de nuestro equipo con grandes retos, trayectoria y crecimiento profesional.¿Cuáles serían tus responsabilidades?- Realizar penetration tests sobre aplicaciones web, APIs, aplicaciones móviles y de escritorio llevando un seguimiento de todo el ciclo de vida de las vulnerabilidades.- Participar en ejercicios de revisión de código para los proyectos más importantes de la compañía.- Asegurarse de que los proyectos internos de la empresa cumplen con los estándares de seguridad dictados por el equipo.- Participar en proyectos de innovación para crear nuevos procesos y herramientas de seguridad, además de mejorar los existentes.- Poder llevar la responsabilidad de liderar pequeños equipos o áreas dentro de la empresa desde el primer momento.¿Qué buscamos en ti?- Grado en ingeniería informática y/o Master en ciberseguridad. Se podría valorar alguien con un grado superior de FP según la experiencia que aporte.- 2 años o más de experiencia en algún dominio relacionado con seguridad ofensiva.- Conocimientos sobre la realización de auditorías de seguridad ofensivas.- Conocimientos sobre desarrollo de código seguro.- Buena capacidad de comunicación.- Ganas de aprender, de querer crecer profesionalmente y de coger nuevas responsabilidades.- Indispensable un nivel alto de inglés.¿Qué valoraríamos muy positivamente?- Conocimientos en seguridad de aplicaciones móviles- Cualquier certificación relacionada con ciberseguridad (CEH, OSCP, OSWE, BSCP, CDP, CDE....)- Experiencia en el área de cloud (preferiblemente Azure)Ofrecemos:- 100% Teletrabajo- Contrato Indefinido con Azertium IT- Puesto muy estable- Desarrollo y crecimiento profesional",Barcelona,Servicios y tecnología de la información, jornada completa,al menos 2 años,indefinido,o disponible,2024-01-26,infojobs
Ciberseguridad y Vulnerabilidades (+ 2-3 años Experiencia - Madrid – Teletrabajo),SANDAV,ace 2d,[],"Buscamos a un Especialista en Ciberseguridad y Gestión y remediación de Vulnerabilidades: (Desde escaneo, Reportes, hasta las propuestas de remediación, seguimiento de guías OWASP, Pentest, Riesgos...) y funciones muy heterogéneas dentro de las necesidades de Ciberseguridad que puedan presentarse en cada momento, inclusive a nivel de gestión y relación con clientes adecuándose a necesidades que puedan presentarse.Necesitamos que se maneje con el inglés hablado, y que conozca la función (en torno a al menos dos o tres años de experiencia en puesto similar al menos y experiencias en adelante.Buscamos cubrir una necesidad totalmente estable y orientada a largo plazo.Horarios habituales de oficina: de 9 a 18:00H (ese horario es orientativo y flexible pudiendo entrar incluso a las 8:00 y terminar por ende antes la jornada). Viernes, Julio y Agosto jornada intensivaSe ofrece:- Teletrabajo 50% un mes, y al siguiente mes 100% (Se alternan ambos formatos cada mes). Oficinas en zona Madrid Rio / Arganzuela.- Seguro médico privado y otros aspectos a comentar¿Quiénes somos?En Sandav somos más de 200 personas en España. Trabajamos con las empresas más importantes a escala nacional,ayudándolas en los retos que les plantean las tecnologías de la información, a través de servicios de outsourcing, consultoría yasistencia técnica, selección de personal, formación o desarrollo y mantenimiento de software.- Para más información: sandavteam.com",Madrid,VOM, jornada completa,al menos 2 años,indefinido,33.000€ - 52.000€ Bruto/año,2024-01-26,infojobs
Consultor/a TIBCO - Inglés alto,Sopra Steria,ace 2d,"['TIBCO', 'MQ Series', 'CI/CD']","En Sopra Steria trabajamos para hacer posible la transformación digital de nuestros clientes y para conseguirlo necesitamos seguir creciendo y sumando gracias a personas como tú.Nuestros empleados coinciden en el gran equipo y ambiente que formamos en Sopra Steria.Somos más de 50.000 personas trabajando en 25 países y nuestra misión es unir talento y tecnología, tratando de ayudarte a que encuentres un lugar en el que poder desarrollar todo tu potencial.¿Te atreves a crear el futuro?Para acompañarnos en este camino, estamos buscando una persona con experiencia amplia en TIBCO para liderar cambios importantes en la plataforma de intercambio/integración basada en dicha tecnología y contribuir al mejor diseño de la solución técnica y su plan de implementación. ¡Atrévete a trabajar de una forma diferente y conócenos!Porque sabemos lo que necesitas…• Facilidades para ti, para tu tiempo. ¡No todo va a ser trabajo!• Participa en proyectos retadores. ¿Te animas a aprender algo nuevo?• Crece con un programa de desarrollo continúo personalizado• Disfruta de nuestros Beneficios y accede al Plan de retribución flexible• Smart Sessions ¿Tienes algo que contarnos?",Madrid,"
Informática y telecomunicaciones -
													Sistemas
", jornada completa,al menos 3 años,indefinido,o disponible,2024-01-26,infojobs
Iniciación a la programación Web,"Fundación Esplai, Ciudadania Comprometida",ace 2d,[],"¿Quieres convertirte en Desarrollador Web Full-Stack, con capacidad tanto para la programación ""front-end"" como ""back-end""¿Te interesa aprender el ámbito de la programación?¡¡Esta es tu oportunidad!!En colaboración con una red de reconocidas empresas del ámbito tecnológico, hemos desarrollado un programa de inserción laboral con el que te ofrecemos realizar una formación inicial gratuita de unas 596 horas para, una vez superada, acceder a la fase de contrataciones.Aumenta tus conocimientos y empleabilidad en un sector puntero.¡No desaproveches la oportunidad de hacer carrera en un sector sólido y con futuro! Si tienes alguna duda inscríbete y contactaremos contigo",Barcelona,Desarrollo de programación, jornada indiferente,no requerida,otros contratos,18.000€ - 21.000€ Bruto/año,2024-01-26,infojobs
"SAP Procure to Pay - P2P Functional Analyst (COMISIÓN EUROPEA, Teletrabajo)",abde business consulting,ace 5d,"['SAP P2P', 'SAP Procure to Pay ', 'SAP']","OFERTA LABORAL: SAP Procure to Pay - P2P  Functional Analyst   (COMISIÓN EUROPEA)Se ofrece:** Contrato indefinido + Proyecto de larga duración.** Interesante proyecto para la Comisión Europea .** Salario: entre 50k - 70k (según formación + experiencia aportada)___ ___ ___ ____ ___ __ ___ ___ ___ ___ ___ ___ ___*** IMPORTANTE: Se permite teletrabajo desde España****** IMPRESCINDIBLE: NIVEL ALTO DE INGLÉS, CAPAZ DE TRABAJAR CON FLUIDEZ DESDE EL PRIMER DÍA.***___ ___ ___ ____ ___ __ ___ ___ ___ ___ ___ ___ ___Dentro de nuestras colaboraciones internacionales, necesitamos incorporar 3 perfiles de Consultor/Analista funcional SAP, para trabajar en un interesante proyecto en La Dirección General de Presupuesto de la Comisión Europea (DG BUDG). Los candidatos han de tener muy buenos conocimientos / experiencia con la herramienta SAP Procure to Pay (SAP P2P )Los candidatos/as seleccionados estarán encargados de apoyar en el diseño, construcción, integración con sistemas corporativos y actividades de transición de la solución...Principales funcionalidades a cubrir: procurar para pagar, marco presupuestario, contabilidad, procesos....",Barcelona,Servicios y tecnología de la información, jornada completa,más de 5 años,indefinido,50.000€ - 70.000€ Bruto/año,2024-01-26,infojobs
"SAP Procure to Pay - P2P Functional Analyst (COMISIÓN EUROPEA, Teletrabajo)",abde business consulting,ace 5d,"['SAP P2P', 'SAP Procure to Pay ', 'SAP']","OFERTA LABORAL: SAP Procure to Pay - P2P  Functional Analyst   (COMISIÓN EUROPEA)Se ofrece:** Contrato indefinido + Proyecto de larga duración.** Interesante proyecto en la Dirección General de Presupuesto de la Comisión Europea (DG BUDG).** Salario: entre 50k - 70k (según formación + experiencia aportada)___ ___ ___ ____ ___ __ ___ ___ ___ ___ ___ ___ ___*** IMPORTANTE: Se permite teletrabajo desde España****** IMPRESCINDIBLE: NIVEL ALTO DE INGLÉS, CAPAZ DE TRABAJAR CON FLUIDEZ DESDE EL PRIMER DÍA.***___ ___ ___ ____ ___ __ ___ ___ ___ ___ ___ ___ ___Dentro de nuestras colaboraciones internacionales, necesitamos incorporar 3 perfiles de Consultor/Analista funcional SAP, para trabajar en un interesante proyecto en La Dirección General de Presupuesto de la Comisión Europea (DG BUDG). Los candidatos han de tener muy buenos conocimientos / experiencia con la herramienta SAP Procure to Pay (SAP P2P )Los candidatos/as seleccionados estarán encargados de apoyar en el diseño, construcción, integración con sistemas corporativos y actividades de transición de la solución...Principales funcionalidades a cubrir: procurar para pagar, marco presupuestario, contabilidad, procesos....",Madrid,Servicios y tecnología de la información, jornada completa,más de 5 años,indefinido,50.000€ - 70.000€ Bruto/año,2024-01-26,infojobs
Técnico Instalador sistemas Audiovisuales senior Madrid,MARTIN & CADENAS INGENIEROS S.L.,hace 2d,"['microsof', 'Videoconferencia', 'Audiovisual', 'video', 'vmix', 'camaras', 'tecnico audio', 'Iluminación', 'Soporte técnico']","En MC-Ingenieros ayudamos a nuestros clientes a transformar y adaptar sus empresas con visión, simplicidad y eficiencia por medio de la tecnología.Somos especialistas en le cambio digital de los negocios y la forma de trabajar.Actualmente buscamos nuevos compañeros técnicos especialistas en la instalación de sistemas audiovisuales para el departamento de operaciones en Madrid. Funciones:- Montaje de sistemas audiovisuales completos: audio, vídeo, control e iluminación- Se valorará la experiencia en el montaje de pantallas Led de gran formato- Se valorará la polivalencia para dar soporte técnico a Eventos.",Madrid,Audiovisual, jornada completa,al menos 3 años,indefinido,18.000€ - 26.000€ Bruto/año,2024-01-26,infojobs
