titulo,empresa,fecha,herramientas,descripcion,presencialidad,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,portal
Functional Consultant,Michael Page,18/01/2024,Salesforce,"Perfil buscado (Hombre/Mujer)Purpose of the role is provide the functional capability to successfully deliver CC evolutions through all stages of the product development cycle. A Functional Consultant will combine traditional business analysis skills with deep Salesforce and Bullhorn knowledge, allowing them to engage in meaningful conversations with product ownership, architects and developers on PageGroup´s requirements and how they may best be met in the platform. They will also ensure that was has been built meets the requirements of the business before release into production.As part of the CC Functional Team they will be expected to work closely (where required) with the CC Product owner, CC success teams and business partners to ensure the right level of functional CC expertise is provided throughout all phases - business demand, business case, project and management of change.Key Responsibilities:• Documentation of business requirements (User Stories, epics) with business users and the definition of proper acceptance criteria.• Once user stories are in ""Review"" stage, support architects and other teams involved to assess impact of the change and ensure solution meets business requirements• Once user stories are ´in build´, the functional consultant will continue to work closely with solution architecture and development teams and ensure any ambiguity is addressed and the build team fully understand requirements and the avoidance of rework• Once build is completed supports quality assurance activities including functional and non-functional testing (i.e. scalability testing) and will provide proper guidance on the type/level of test required to safely introduce the change.• Assist the support team to analyse and resolve production issues• Is measured on• Accuracy of user stories and user acceptance criteria in order to support build right first-time objectives• Delivery efficiency• Input Customer Connect expertise into proposed roadmap items as and when required• Implement and test ´Fast´ changes into the production environment where required• Upskill and certify in Salesforce as quickly as possible• Champion Customer Connect in any discussions with business users• Spanish is not required|Good opportunity to start a new challenge in a multicultural companyQualifications:• Functional Analysis / Formal BA Qualifications• Salesforce Certifications• Understood that these may not exist currently but there will be an expectation (and support) to achieve these certificationsSkills/Experience:• High level understanding of Bullhorn for Salesforce product and Pagecustomizations or very interested in developing this understanding• Expectation that this moves towards a deep understanding once in post• High level understanding of Page Business and processes• Completion of Salesforce Admin and Functional consultant trailheads• Prior experience with Scrum and Agile development methodology• Experience working at global level with cross-functional teams• Cultural awareness when working with global teams• Capacity to influence at all levels• Capacity to get things done even without direct reporting line• Integrity• Drive• Self confidence• Empathetic• Fluent in English and another language is a plus",Barcelona - España,Consultor,Jornada completa,3-5 años,Indefinido,,2024-01-26,tecnoempleo
Técnico de Gestión de Incidentes,Michael Page,18/01/2024,incidentes,"Perfil buscado (Hombre/Mujer)  • Soporte a la función de gestión de incidentes. • Seguimiento de informes técnicos de incidentes. • Valorable experiencia en gestión de incidencias, centro de atención a usuarios o similar.  • Proyecto estable|Formarás parte de un ecosistema de Talento Tecnológico  Previa experiencia en gestión de incidencias, centro de atención a usuarios o similar.   Page Consulting Tech Solutions, es el área de PageGroup especializada en la realización de proyectos IT en clientes, ofreciendo una amplia variedad de soluciones tecnológicas a medida con la flexibilidad y agilidad requerida.  • Contrato indefinido con Page Consulting Tech Solutions. • Salario en función de la experiencia aportada. • Modelo híbrido de trabajo con flexibilidad horaria. • Formación continua para desarrollar tu talento. • Beneficios sociales y plan de retribución flexible. • Compensación de gastos de teletrabajo. • Plan de carrera en un ecosistema de talento tecnológico.",Madrid - España,Técnico de Gestión,Jornada completa,2 años,Indefinido,,2024-01-26,tecnoempleo
Desarrollador/a Power Apps,arelance,18/01/2024,"Powrer Apps, Power Automate, Power BI","En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para nuestros clientes, y en ofrecer a nuestros candidatos los mejores proyectos.En este momento, buscamos a dos profesionales con experiencia en configuración y desarrollo de Power Apps (0365 Power Platform).¿Qué buscamos en ti?- Al menos dos años de experiencia en puestos similares- Experiencia en desarrollo de aplicaciones personalizadas (fórmulas, componentes, conectores, lógica de negocios)- Experiencia en creación y automatización de flujos de trabajo - Power Automate- Habilidad para crear informes y planes creativos mediante modelos de datos, consultas, visualizaciones y medidas (PowerBI)- Experiencia en desarrollo de Agentes Virtuales (AI y NL)¿Cuáles serán tus funciones principales?Entrarás a formarte de un equipo de desarrollo, enfocado en aplicar mejoras prácticas de desarrollo, seguridad y rendimiento. También, estarás en comunicación directa con usuarios y clientes para garantizar la mejora de servicio.¿Qué podemos ofrecerte en esta posición?-  Posibilidad de trabajar 100% en remoto-  Contrato indefinido-  Acceso a formaciónSi tienes interés en una gran oportunidad como ésta, ¡inscríbete! ¡Queremos conocerte!*** Sólo se valorarán candidatos con permiso de trabajo y residencia en España ***",100% En remoto,Desarrollador Web,Jornada completa,2 años,Indefinido,21.000 €-24.000 € Bruto/año,2024-01-26,tecnoempleo
Programador Python Big Data 100% Remoto,Quental,18/01/2024,"python, pandas, numpy, big data","¿Eres una persona a la que le gustaría afrontar nuevos retos y buscas desarrollar tu carrera profesional en el mundo de los entornos de datos en el área Big Data, en un proyecto referente?¡En Quental tenemos la oportunidad perfecta para ti!Estamos seleccionando para nuestro laboratorio de Ciencia de Datos Ingenieros Informáticos o similar con experiencia en el desarrollo de las soluciones de análisis de datos y big data, participando en las tareas de programación, tratamiento y transformación de datos de grandes volúmenes y estructuras heterogéneas.Funciones de Programador Python con análisis y desarrollo de proyectos dentro del ámbito Data Science participando en las tareas de programación, tratamiento y transformación de datos de grandes volúmenes y estructuras heterogéneas.¿Qué puedes aportarnos?- Experiencia de 2 años previa en las tareas de codificación Python de proyectos de manejo de grandes volúmenes desarrollando los programas para el tratamiento y cálculo de datos. -  Experiencia y habilidad del uso de funciones y codificación cumpliendo los requisitos de calidad de software y mejoras en el rendimiento de la solución.¿Qué podemos ofrecerte?- Contrato indefinido y plan de retribución flexible con interesantes beneficios sociales.- Conciliación entre la vida personal y profesional, apoyado en un modelo de teletrabajo total.- Desarrollo de carrera en un ambiente colaborativo y con bonificaciones a tu formación, para que siempre estés actualizado y a la última en cuanto a tecnología y tendencias en transformación digital.- Entorno salarial negociable en función de la experiencia aportada.- Inclusión en el programa de beneficios y descuentos, para disfrutar de tus eventos, vacaciones, compras diarias y caprichos, beneficiándote de todos los descuentos que aporta el Quental Club Benefits!¿Cómo son nuestros procesos de selección? Es primordial para nosotros mantener la coherencia en la toma de decisiones durante las distintas etapas de esta labor llevada a cabo por nuestro equipo. Nuestros procedimientos son inclusivos, sin sesgos ni prejuicios y buscando el objetivo: colaborar con el mejor talento.¡Te esperamos!",100% En remoto,Big Data,Jornada completa,2 años,Indefinido,24.000 €-30.000 € Bruto/año,2024-01-26,tecnoempleo
IT Business Partner (SAP SD),Michael Page,18/01/2024,SAP SD,"Perfil buscado (Hombre/Mujer)   The SAP SD IT Business Partner will be part of the vehicles sales area of the corporate IT team, reporting to the IT Lead of European projects and participating in the implementation of the company operating model in new markets & brands.  Main Responsibilities: • Lead the implementation of the vehicles sales corporate business model in new markets. • Participate in the GAP analysis and scope definition of the vehicles area together with the internal IT team, IT vendors and business teams. • Involve the IT Local Business Partners through the entire project (implementation SAP SD/MM) lifecycle to ensure new requirements fits with the corporate template, matching the local market/brand needs as well. • Coordinate and manage external resources and vendors including offshore delivery models. • Act as a reference for the business team to know the status of the area and the details of the project (implementation SAP SD/MM) scope. • Interact with 3rd parties such as vehicle 3PLs to implement integrations and ensure the correct behaviour of the existing ones. • Be in permanent contact with the Application Maintenance team to identify new functionalities (SAP SD/MM) to be added into the corporate template. • Report regularly the status of its workstream   • Multinational Company (Final Company) - Automotive Sector|Experience in SAP SD/MM implementations in a multicultural environment  The SAP SD IT Business Partner, should have: • 5+ years of experience in the automotive/distribution/consumer goods industries and their operating models (with special focus on supply chain and commercial processes will be very useful). • 3+ years of experience in SAP (mainly MM-SD).  Valuable:  - VMS module.  - SAP-FI module.  - Salesforce experience is desirable  Education: • Degree in Engineering, Information Technology, Information Systems, or a related field. • Experience in the deployment of international SAP (SD/MM) projects, with focus on process definition , and implementation of integrated solutions. Able to define solutions,identify GAPs, challenge existing solutions and propose new ones. • Understanding of best practices applied to ERP rollout international projects: GAP definition, solution design, build, integral and user test, user training, data migration and cutover strategy development and execution. • High level of English written and spoken • Experience in integrations with 3rd party´s systems • Strong communication skills written and spoken with ability to explain complex issues in simple words • Leadership, proactivity, goal oriented • Ability to travel (European travels) 20%-25% of your time   Multinational Company (Final Company) - Automotive Sector   Interesting professional opportunity",Madrid - España,Consultor,Jornada completa,Más de 5 años,Indefinido,48.000 €-60.000 € Bruto/año,2024-01-26,tecnoempleo
Administrador de Sistemas,Michael Page,18/01/2024,"Linux, scripting, Python","Perfil buscado (Hombre/Mujer)• Configuración, administración y mantenimiento de servidores y de redes, especialmente en sistemas Linux.• Instalación y mantenimiento de aplicaciones.• Configuración y monitorización de sistemas de backup.• Definición de necesidades de nuevo equipamiento, licencias de software, contratos de mantenimiento y adquisiciones.• Actualizaciones de software de todos los sistemas.• Configuración y gestión de los equipos de trabajo del personal.• Administrador de Sistemas|Linux• Buen conocimiento y experiencia en administración de sistemas Linux• Buen conocimiento de lenguajes de scripting• Conocimiento de Python.• Administración de máquinas virtuales.• Capacidad para realizar un análisis crítico de una situación existente y proponer mejoras.Empresa pionera en su sector y puntera en tecnologías actuales.• 45k• Contrato Indefinido.• Teletrabajo muy adaptbales (siempre que no haya que hacer algo físico se podrá teletrabajar pero primer mes y hasta que se demuestre la autonomía del trabajador será presencial oficina• Horario de entrada de 8 a 11 y de salida de 5 a 8. No tienen un horario muy cerrado, adaptado lo que cada uno prefiera o necesite.• Trabajar con gente muy experta muy TOP.• Formaciones pagadas por la empresa.• Ubicación Pozuelo. • Ambiente internacional.",Madrid - España,Técnico de Sistemas,Jornada completa,3 años,Indefinido,39.000 €-45.000 € Bruto/año,2024-01-26,tecnoempleo
Desarrollador FullStack (Angular/NodeJS),Grupo Digital,18/01/2024,"Angular, NodeJS","Desde Grupo Digital, buscamos un Desarrollador FullStack (Angular / NodeJS) para formar parte de nuestro equipo y colaborar con uno de nuestros clientes.Duración del proyecto: Indefinida (Larga duración)Tipo de jornada: CompletaModalidad de trabajo: 100% TeletrabajoUbicación: MadridGuardias: NoViajes o Desplazamientos: NoAños de Experiencia: >= 3Conocimientos Imprescindibles:* Angular 12 o superior.* Desarrollo Back en NodeJS con typescript.* Typescript.* MySQL.Conocimientos Deseables:* Conocimientos de trabajo en Cloud (preferiblemente Google Cloud).* Conocimientos de bases de datos no SQL.* Micro Frontends.* BigQuery.Grupo DigitalSomos un grupo de empresas tecnológicas, formado actualmente por unos 400 profesionales, en distintas áreas: desarrollo, sistemas, ingeniería automática, consultoría... Si deseas iniciar tu carrera en el ámbito del desarrollo web y formar parte de un equipo dinámico, ¡esperamos tu candidatura!",100% En remoto,Analista Programador,Jornada completa,3-5 años,Indefinido,,2024-01-26,tecnoempleo
Ingeniero de redes y seguridad,Michael Page,18/01/2024,"LAN, WAN","Perfil buscado (Hombre/Mujer)Sus principales responsabilidades serán:• El diseño e implementación de la infraestructura de red, asegurando su funcionamiento óptimo, mantenimiento y actualización de la infraestructura de red existente.• Tendrá que realizar pruebas y evaluaciones de rendimiento de red para garantizar su eficiencia.• Será el responsable de gestionar la seguridad de la red y solucionar problemas técnicos relacionados con la misma y desempeñará un papel crucial en la gestión de protocolos de ciberseguridad para proteger los activos de la organización.• Trabajarás para una importante empresa española con presencia global.|Gestionarás toda la parte de redes y seguridad de la compañía.La persona seleccionada tendrá que tener un mínimo de 3 años de experiencia como ingeniero/a de ciberseguridad y redes. Principales funciones a desempeñar:• Instalar y mantener redes LAN, WAN, segmentos de red y operaciones tanto de Internet como de Intranet.• Diseño de la infraestructura de red de la empresa.• Gestión de Firewalls, Switches.• Gestión de incidencias en ciberseguridad y redes.• Mantenimiento y gestión de las políticas de seguridad y protocolos de actuación.• Gestión y mantenimiento de las reglas de red, mapas de red, accesos externos.• Investigación sobre vulnerabilidades. Auditorías anuales.• Mantener al día los protocolos de ciberseguridad de acuerdo a INCIBE y CCN.• Creación y revisión de reglas y revisión de logs de firewalls.• Actualización de vulnerabilidades de acuerdo a INCIBE Y CCN.• Participación en auditorías de ciberseguridad y redes.La empresa es líder a nivel global de su sector y tiene sede en Jaén.Ofrecemos:• Contrato indefinido.• Empresa con ambiente internacional.• Salario según experiencia aportada. • Híbrido en Jaén.",Jaén (Híbrido),Redes,Jornada completa,3 años,Indefinido,,2024-01-26,tecnoempleo
Responsable de Operaciones IT,CDmon,18/01/2024,"linux, LAMP, Opensource, ciberseguridad","Actualmente buscamos un/a responsable para nuestro equipo de Operaciones con capacidad técnica, liderazgo y ambición personal, para sumarse a nuestra compañía.¿Cuáles serán tus funciones?-       Establecimiento y asentamiento de metodologías y proceso (ITIL) para la gestión del servicio, las     capacidades y la continuidad de disponibilidad.- Seguimiento del servicio e implantar mantenimientos preventivos.- Supervisión del sistema de monitorización.- Establecer un plan de mejoras del sistema de alertas, así como su control.- Toma de decisiones de acuerdo con la visión y misión de la empresa.- Coordinación y gestión del equipo técnico. - Planificación y seguimiento del presupuesto.¿Qué valoramos?- Ingeniería Informática /Ingeniería en Telecomunicaciones o similar.- 5 años de experiencia en responsabilidades similares.- Experiencia en gestión de equipos y de recursos.- Altas habilidades de comunicación.- Fuertes habilidades analíticas y de gestión de proyectos.- Experiencia en monitorización OpenSource.- Conocimientos en ciberseguridad: desarrollo seguro, arquitecturas Linux.- Conocimientos en arquitectura LAMP. - Conocimientos en herramientas de automatización.- Experiencia en análisis de datos.¿Qué te ofrecemos?- Un proyecto con un gran reto tecnológico- Buen ambiente de trabajo - Aprendizaje continuo y un plan de carrera- Posición de gestión- Salario competitivo + bonus- Flexibilidad horariaNuestro consejo: inscríbete si tienes el perfil. ! Puede que se ajuste más que el de otras personas inscritas !",Barcelona (Híbrido),Jefe de Equipo,Jornada completa,Más de 5 años,Indefinido,45.000 €-60.000 € Bruto/mes,2024-01-26,tecnoempleo
Técnico/a soporte usuarios/as,Grupo Sermicro,18/01/2024,"Windows, Azure, redes, AD","Grupo Sermicro es una empresa de referencia de Soluciones y Servicios TIC que ayuda a las empresas a desplegar su estrategia de negocio mediante un uso eficiente e innovador de la tecnología. Tenemos más de 35 años de experiencia y contamos con presencia internacional con sede en 10 países y un equipo de más de 2.400 personas.Trabajamos con más de 1.000 clientes en el sector público y privado y además promovemos activamente la igualdad entre hombres y mujeres.¡Te invitamos a formar parte de nuestro equipo!Actualmente estamos buscando TÉCNICO/A SOPORTE USUARIOS/ASFUNCIONES• Solucionar en segunda línea incidencias del puesto de trabajo informático (Software, Hardware, Comunicaciones y Periféricos). Entornos Windows 7 y Windows 10.• Instalar y configurar Software corporativo, ofimático o específico. Administración de permisos relacionados con dicho software.• Resolución de incidencias relacionadas con el funcionamiento general del Software y Sistemas Operativos.• Altas / Bajas / Modificaciones / Roles en aplicativos del servicio.• Escalar a otros grupos resolutores según procedimientos establecidos.• Escalar adecuadamente según procedimientos establecidos.SE REQUIERE:a) Formación académica y específica para el puesto:- Ciclo Formativo Superior en Informática o Telecomunicacionesb) Conocimientos imprescindibles- Conocimientos demostrables en Windows 7 y Windows 10.- Conocimientos en Microinformática, redes y telecomunicaciones.- Gestión de usuarios y grupos Active Directory.c) Conocimientos deseables- SCCM- Herramientas de ticketingSE OFRECE:- Oportunidad para trabajar en una importante empresa líder en su sector y en continuo crecimiento- Formación, aprendizaje continuo y una carrera profesional orientada a la especialización y promoción- Buen ambiente de trabajo- Estabilidad LaboralUBICACIÓN: Palma de MallorcaHORARIO: 40H/SEMANA de lunes a viernesDURACIÓN PROYECTO: 6 MESES",Palma De Mallorca -  BalearesEspaña,Helpdesk,Jornada completa,Menos de un año,Temporal,,2024-01-26,tecnoempleo
Experto en SQL - Reporting,Michael Page,18/01/2024,SQL,"Perfil buscado (Hombre/Mujer)• Trabajos en el area de reporting• Proyecto estable|Formarás parte de un ecosistema de Talento Tecnológico.• Conociemiento experto en SQL y similres, para la obtención de información de diferentes BBDD• Experiencia previa en reportingPage Consulting Tech Solutions, es el área de PageGroup especializada en la realización de proyectos IT en clientes, ofreciendo una amplia variedad de soluciones tecnológicas a medida con la flexibilidad y agilidad requerida.• Contrato indefinito con Page Consulting Tech Solutions.• Salario en función de la experiencia aportada.• Modelo híbrido de trabajo con flexibilidad horaria.• Formación continua para desarrollar tu talento.• Beneficios sociales y plan de retribución flexible.• Compensación de gastos de teletrabajo.• Plan de carrera en un ecosistema de talento tecnológico.",Madrid (Híbrido),Consultor,Jornada completa,3 años,Indefinido,,2024-01-26,tecnoempleo
Administrador Tuxedo senior,Michael Page,18/01/2024,"Tuxedo, Linux","Perfil buscado (Hombre/Mujer)• Administrador de entornos críticos de Tuxedo.• Resolución de incidencias.• Análisis de Rendimiento.• Disponibilidad para realizar guardias.• Empresa tecnológica bancaria|Trayectoria profesional- Experiencia senior en Tuxedo.- Experiencia en entornos críticos.- Experiencia en entorno Linux.Page Consulting Tech Solutions, es el área de PageGroup especializada en la realización de proyectos IT en clientes, ofreciendo una amplia variedad de soluciones tecnológicas a medida con la flexibilidad y agilidad requerida. • Contrato indefinido con PageConsulting Tech Solutions.• Banda salarial en función de la experiencia.• Ubicación: Tres Cantos (Madrid)• Teletrabajo híbrido.• Formación continua para desarrollar tu talento.• Beneficios sociales y plan de retribución flexible.• Compensación de gastos de teletrabajo.• Plan de carrera en un ecosistema de talento tecnológico.",Madrid (Híbrido),Administrador,Jornada completa,3 años,Indefinido,39.000 €-60.000 € Bruto/año,2024-01-26,tecnoempleo
SAP ABAP,Michael Page,18/01/2024,"SAP, ABAP","Perfil buscado (Hombre/Mujer)• Integración con equipo SAP multidisciplinar técnico-funcional, para el análisis y desarrollo de soluciones con valor añadido.• Trabajo en proyectos evolutivos ABAP.• Mantenimiento y mejora del sistema.• Soporte técnico.• Oportunidad de desarrollo profesional dentro del equipo IT SAP colaborativo|Modalidad híbrida de teletrabajo con oficinas en el Vallés OrientalFormación académica en informática, con habilidades en el diseño de base de datos y flujo de procesos• Experiencia ABAP de 2 o más años• Experiencia o buen desempeño en el diseño y/o implementación de flujos de datos• Vocación detallista en la realización de soluciones informáticas• Capacidad de análisis, valoración y redactado de documentaciónGrupo internacional que se distingue por el diseño de soluciones de alta gama mediante la creación de valor sostenible , con un talento humano creativo y comprometido.Oportunidades de carrera y desarrollo profesional.Retribución salarial acorde con la experiencia aportada.",Barcelona - España,Consultor,Jornada completa,2 años,Indefinido,,2024-01-26,tecnoempleo
Técnico Riesgos Tecnológicos,Michael Page,18/01/2024,ciberseguridad,"Perfil buscado (Hombre/Mujer)Soporte experto en análisis de riesgos.• Proyecto estable|Formarás parte de un ecosistema de Talento TecnológicoConocimiento experto en riesgos tecnológicos. Conocimiento experto técnico en materia de seguridad y riesgos tecnológicos.Page Consulting Tech Solutions, es el área de PageGroup especializada en la realización de proyectos IT en clientes, ofreciendo una amplia variedad de soluciones tecnológicas a medida con la flexibilidad y agilidad requerida.• Contrato indefinito con Page Consulting Tech Solutions.• Salario en función de la experiencia aportada.• Modelo híbrido de trabajo con flexibilidad horaria.• Formación continua para desarrollar tu talento.• Beneficios sociales y plan de retribución flexible.• Compensación de gastos de teletrabajo.• Plan de carrera en un ecosistema de talento tecnológico.",Madrid (Híbrido),Ciberseguridad,Jornada completa,3 años,Indefinido,,2024-01-26,tecnoempleo
Administrador Redes (Cisco/Palo Alto),Krell Consulting & Training,18/01/2024,"CISCO, ARUBA, PALO ALTO, FORTINET","En Krell-Consulting, nos encontramos en la búsqueda de dos perfiles de Administrador Redes, para ser contratados por Krell, para proyecto en importante cliente, en Barcelona, en modalidad híbrida de trabajo.PERFILES: Administrador RedesLOCALIZACIÓN: BarcelonaMODALIDAD DE TRABAJO: híbrido (50%).REQUERIDO: -       Conocimientos avanzados de redes (switching Cisco o Aruba) y seguridad (PaloAlto o Fortinet).- IMPRESCINDIBLE: perfil multidisciplinar, que tenga cierta experiencia en administración de FWs perimetrales y especialmente con el fabricante PaloAlto.Si estás interesado, no dudes en aplicar a la posición. ¡Te esperamos!",Barcelona (Híbrido),Administrador,Jornada completa,2 años,Indefinido,,2024-01-26,tecnoempleo
Desarrolladores de Angular 9,Diseño Soluciones Tecnológicas,18/01/2024,"angular, SQL Server","Se busca programador con experiencia con Angular 9 desarrollando el Front End de diversas aplicaciones.Entorno de trabajo con un equipo de 10 personas altamente cualificadas, oportunidad de aprender últimas metodologías de trabajo y varios proyectos a desarrollar.Jornada continua de 8:30 a 16:45 y 60% de jornadas en teletrabajo.",Valencia (Híbrido),Programador,Jornada completa,Menos de un año,Indefinido,18.000 €-24.000 € Bruto/año,2024-01-26,tecnoempleo
Ingeniero Pruebas Senior,PANEL Sistemas Informáticos,18/01/2024,"Soap UI, Postman, Jmeter, Jenkins","¿Quieres formar parte del #TeamPanel? Buscamos Ingenieros SQA Senior, con experiencia en metodologías Ágiles, que sean responsables de definir e implementar tests a nivel de US y de establecer la estrategia de pruebas a nivel de Épica (pruebas unitarias, integración, aceptación, e2e)También será necesaria la ejecución de dicha estrategia. Por eso, y de manera adicional, se requiere que tenga desarrollada su capacidad técnica. No es necesario ser experto en cada una de las herramientas que se nombran a continuación, pero sí la capacidad de aprender a usarlas.¿Sobre qué necesitas tener conocimientos y/o experiencia para poder desempeñar correctamente tu rol (aunque no necesariamente participes en todos los procesos indicados de manera directa)?-Pruebas de backend: Openapi y automatización con Soap UI, Postman o Jmeter.-Uso de modelo de CI/CD y revisión de Pipelines (Jenkins, Github, Terraform)-Pruebas de frontal: Automatización de test con Selenium o Cypress.-Pruebas de Aceptación: Cucumber (Gherkin)-Pruebas Unitarias: JUnit-Pruebas de Seguridad: Dependabot y Github advance security-Pruebas performance: Gatling -Pruebas de Observabilidad: Kibana, cloud OpenSearch, Elastic, splunk o Dynatrace-Consultas a Bases de Datos  (SQL)¿Que ofrecemos?- La incorporación equipos en plena transformación digital y en diversos puntos de partida de la misma.  - Colaboración mano a mano con Product Owner y Tech Lead (estrategia tres amigos)- Serás parte de un equipo de trabajo agile que dispone de todos los roles necesarios para su desempeño (Product Owner, Scrum Master, ect) y en el que el rol QA Engineer desempeña un papel de nexo entre las partes Negocio y DEV- Trabajo remoto con sesiones de trabajo en equipo en Madrid-Impulsaremos tu Talento con un Plan de Desarrollo Profesional y Programas de Tutoría individualizada.-Completo Programa de formación que incluye desde programas de especialización técnica hasta idiomas, habilidades en gestión de proyectos, metodologías ágiles y certificaciones. Tanto on-line como presencial.-Políticas de conciliación como el Teletrabajo en modo full-remote; jornada continua los viernes y en verano, flexibilidad horaria, días de permiso en navidad, y facilidades para la movilidad geográfica de los empleados.-Beneficios sociales como retribución flexible, complemento al 100% de bajas médicas, condiciones especiales en seguro médico privado o Tarjeta VISA empleados.Nuestra empresa es hoy referencia en el sector del Software Quality Assurance, participando en varios proyectos de investigación a nivel europeo, y con muchos más proyectos sobre los que podrás diseñar una trayectoria profesional a largo plazo. Aplica y nos conoceremos.",100% En remoto,Tester,Jornada completa,3 años,Indefinido,,2024-01-26,tecnoempleo
Fullstack developer javascript,HAYS,18/01/2024,"JavaScript, TypeScript","Desde HAYS estamos en búsqueda un Senior Developer para unirse al equipo de desarrollo e implementar soluciones tecnológicas en el ecosistema digital de una empresa en plena expansión.¿Cuáles son los requisitos? - Formación en Ingeniería informática o equivalente  - Experiencia de al menos 3 años con JavaScript /TypeScript (Node.js, Vue.js, Next.js, Angular.js)  - Experiencia en el desarrollo de microservicios  - Familiarizado con bases de datos SQL y NoSQL  - Experiencia en tecnologías de comunicación HTTP y sockets  - Haber implementado soluciones de streaming de audio y vídeo  - Herramientas y Servicios en Nube  - Valorable haber participado en desarrollo de Apps con Flutter ¿Qué obtendrás a cambio? - Contrato indefinido  - Crecimiento en compañía  - Entorno ágil y colaborativo",Valencia - España,Programador,Jornada completa,3 años,Indefinido,,2024-01-26,tecnoempleo
Desarrollador Fullstack .net React,Start People,18/01/2024,".net, react, sql, c#","Si eres un desarrollador o analista programador .NET con experiencia en React, tenemos una oportunidad que cambiará tu carrera profesional. Nuestro cliente, empresa líder en soluciones de teleasistencia y salud digital, está ampliando el área de desarrollo para apoyar la transformación digital de sus sistemas. ¿Por qué unirte a nosotros? Aquí te presentamos tres puntos clave:- INNOVACION: Serás parte de un equipo dinámico que impulsa la creación de soluciones que impactan positivamente la vida de las personas con el desarrollo y soporte de soluciones empresariales utilizando el stack Microsoft .Net. en el ciclo de vida completo de proyectos complejos con .Net 4.5+ C#, ASP.NET, API, .NET Core, SQL Server y T-SQL, arquitecturas orientadas a servicios/microservicios, uso de principios SOLID y patrones de diseño, Entity Framework, GIT/TFS y Azure DevOps... y trabajando en equipos agiles- AMBIENTE DE TRABAJO: encontrarás un entorno colaborativo donde podrás aprender de profesionales altamente capacitados y compartir tus conocimientos con colegas talentosos, fomentando un equilibrio saludable entre el trabajo y la vida personal para garantizar tu bienestar.- DESARROLLO PROFESIONAL: creemos en el crecimiento continuo de nuestros empleados. Te ofrecemos un acompañamiento en tu desarrollo personalizado y proyectos desafiantes que te permitirán expandir tus habilidades y alcanzar tu máximo potencial. Además, tendrás la oportunidad de trabajar en colaboración con clientes internacionales, ampliando tu visión y experiencia.Pero si todo esto fuera poco, podrás trabajar con tecnologías como TypeScript, NodeJS y ReactJS, así como Docker, NextJS, PowerShell, API RESTful, GraphQL, Integración continua / pipelines de diseño, Servidor web IIS o MongoDB.¿Qué te ofrece?Proyecto estable y contratación indefinidaSalario acorde a perfil y trayectoria profesional. Ideal entre 30 y 40kProyecto 100% teletrabajo (posibilidad de sistema híbrido en Madrid y Barcelona)Carrera profesional interna¿Estás listo para dar un salto en tu carrera y unirte a nuestro equipo? ¡No pierdas esta oportunidad única! Regístrate ahora en nuestra oferta, descubre un mundo lleno de desafíos y posibilidades y prepárate para el siguiente nivel en tu trayectoria profesional.¡Tu futuro te espera en START PEOPLE!Todo empieza con el talento adecuado",100% En remoto,Analista Programador,Jornada completa,Más de 5 años,Indefinido,30.000 €-39.000 € Bruto/año,2024-01-26,tecnoempleo
Programador/a Java FoxPro,ALTEN Spain,18/01/2024,"java, FoxPro","¡Aprovecha esta oportunidad para unirte a nuestro equipo como Programador/Java!En ALTEN tenemos claro que el éxito de nuestros proyectos se debe a las personas que forman nuestro equipo. Por eso, si tienes más de 2 años trabajando con Java y tienes experiencia en análisis de datos y aplicaciones FoxPro, nos comprometemos a impulsar tu talento, satisfacer tus expectativas laborales y hacerte sentir como en casa. ¿Te unes a nuestro #WelcomeHome? ¡Sigue leyendo!¿Qué podemos ofrecerte?- Modalidad 100% teletrabajo-Formar parte de una gran empresa competitiva y en continuo crecimiento.-Integración en un equipo de profesionales altamente cualificado, con un buen clima laboral, innovador y dinámico.-Formación especializada y desarrollo profesional continuo.-Beneficios sociales y plan de compensación flexible.-Retribución competitiva.¿Quiénes somos?Somos un equipo. Formamos parte de ALTEN, una multinacional europea especializada en proporcionar servicios de consultoría, tecnología de la información y servicios de ingeniería a las principales compañías del mercado español.Además, en ALTEN nos enorgullecemos de ofrecer igualdad de oportunidades con independencia de género, edad, diversidad de capacidades o país de origen. Nuestro compromiso está con el talento y con las personas que lo tienen.Si crees que eres talento, ¡apúntate!",100% En remoto,Programador,Jornada completa,2 años,Indefinido,,2024-01-26,tecnoempleo
