titulo,empresa,fecha,herramientas,descripcion,presencialidad,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,portal,ubicacion,url
IT Auditor (ENS),Page Personnel,05/02/2024,"ISO 27001, ENS, RGPD","Perfil buscado (Hombre/Mujer)* Consultoría especialista en Ciberseguridad.* Consultoría en SGSI ISO 27001.* Consultoría en ENS.• Empresa del sector IT.|Ubicada en Barcelona.• Experiencia mínima de 1 año en proyectos relacionados con consultoría en Ciberseguridad.• Experiencia en el trabajo con mejores prácticas y normativa en Ciberseguridad (ISO 27001, ENS, RGPD/LOPDGDD, NIST, ENISA, ...).• Experiencia en gestión de proyectos y actividades relacionadas con la Ciberseguridad.• Desarrollo normativo de la Seguridad de la Información.• Experiencia en proyectos de adecuación y certificación en normativa de Ciberseguridad.• Experiencia en la elaboración de materiales para la difusión y comunicación de competencias en Ciberseguridad.• Idioma catalán.Empresa del sector IT ubicada en Barcelona referente dentro del ámbito GRC.Oportunidades de carrera y desarrollo profesional.",,Auditor,Jornada completa,1 año,Indefinido,30.000 €-54.000 € Bruto/año,2024-02-10,tecnoempleo,Barcelona - España,https://www.tecnoempleo.com/it-auditor-ens-barcelona/iso-27001-ens-rgpd/rf-72fb151492191302e94e
IT Business Analyst,Grupo Sermicro,09/02/2024,"NODE, SCRUM","Join our team in one of the world´s leading companies in the logistics sector as a Business Analyst. We are looking for a highly skilled and motivated professional who can work in a dynamic and challenging environment. The ideal candidate will be responsible for performing business analysis, taking requirements and converting them into technical solutions to optimise our logistics processes.Responsibilities:-Perform business modelling to identify opportunities for improvement and efficiency.-Collaborate closely with different departments for requirements gathering.-Convert functional requirements into detailed technical specifications.-Participate in the implementation and follow-up of proposed solutions.-Collaborate in the documentation and translation of documents between French and English.Requirements:-Proven experience as a Business Analyst in the logistics sector.-Strong communication skills in French and English (written and spoken).-Experience in business modelling and requirements gathering.-Ability to convert functional requirements into technical specifications.-Solid knowledge of best practices in business analysis.-Experience in cross-departmental collaboration.-Ability to work in a dynamic environment and adapt to change.-Residence in Spain or availability for relocation to Spain.We offer:-The salary for this position is open and will be negotiated according to the candidate´s experience and skills.-Additional benefits, including health insurance and career development opportunities.-Opportunity to grow and contribute to the success of one of the leading companies in the logistics sector.-Knowledge of French and English is essential for this position.Applications that do not meet this requirement will be discarded.",,Analista Programador,Jornada completa,2 años,Indefinido,54.000 €-54.000 € Bruto/año,2024-02-10,tecnoempleo,Madrid - España,https://www.tecnoempleo.com/it-business-analyst-madrid/node-scrum/rf-3ddb1be6422cf39ce14f
IT Business Analyst,Grupo Sermicro,09/02/2024,"NODE, SCRUM","Join our team in one of the world´s leading companies in the logistics sector as a Business Analyst. We are looking for a highly skilled and motivated professional who can work in a dynamic and challenging environment. The ideal candidate will be responsible for performing business analysis, taking requirements and converting them into technical solutions to optimise our logistics processes.Responsibilities:-Perform business modelling to identify opportunities for improvement and efficiency.-Collaborate closely with different departments for requirements gathering.-Convert functional requirements into detailed technical specifications.-Participate in the implementation and follow-up of proposed solutions.-Collaborate in the documentation and translation of documents between French and English.Requirements:-Proven experience as a Business Analyst in the logistics sector.-Strong communication skills in French and English (written and spoken).-Experience in business modelling and requirements gathering.-Ability to convert functional requirements into technical specifications.-Solid knowledge of best practices in business analysis.-Experience in cross-departmental collaboration.-Ability to work in a dynamic environment and adapt to change.-Residence in Spain or availability for relocation to Spain.We offer:-The salary for this position is open and will be negotiated according to the candidate´s experience and skills.-Additional benefits, including health insurance and career development opportunities.-Opportunity to grow and contribute to the success of one of the leading companies in the logistics sector.-Knowledge of French and English is essential for this position.Applications that do not meet this requirement will be discarded.",,Analista Programador,Jornada completa,2 años,Indefinido,54.000 €-54.000 € Bruto/año,2024-02-10,tecnoempleo,Madrid - España,https://www.tecnoempleo.com/it-business-analyst-madrid/node-scrum/rf-3ddb1be6422cf39ce14f
IT Business Analyst,Grupo Sermicro,09/02/2024,"NODE, SCRUM","Join our team in one of the world´s leading companies in the logistics sector as a Business Analyst. We are looking for a highly skilled and motivated professional who can work in a dynamic and challenging environment. The ideal candidate will be responsible for performing business analysis, taking requirements and converting them into technical solutions to optimise our logistics processes.Responsibilities:-Perform business modelling to identify opportunities for improvement and efficiency.-Collaborate closely with different departments for requirements gathering.-Convert functional requirements into detailed technical specifications.-Participate in the implementation and follow-up of proposed solutions.-Collaborate in the documentation and translation of documents between French and English.Requirements:-Proven experience as a Business Analyst in the logistics sector.-Strong communication skills in French and English (written and spoken).-Experience in business modelling and requirements gathering.-Ability to convert functional requirements into technical specifications.-Solid knowledge of best practices in business analysis.-Experience in cross-departmental collaboration.-Ability to work in a dynamic environment and adapt to change.-Residence in Spain or availability for relocation to Spain.We offer:-The salary for this position is open and will be negotiated according to the candidate´s experience and skills.-Additional benefits, including health insurance and career development opportunities.-Opportunity to grow and contribute to the success of one of the leading companies in the logistics sector.-Knowledge of French and English is essential for this position.Applications that do not meet this requirement will be discarded.",,Analista Programador,Jornada completa,2 años,Indefinido,54.000 €-54.000 € Bruto/año,2024-02-10,tecnoempleo,Madrid - España,https://www.tecnoempleo.com/it-business-analyst-madrid/node-scrum/rf-3ddb1be6422cf39ce14f
IT CRM Project Manager,HAYS,09/02/2024,Dynamics 365,"Hays Technology, collaborate with a health care company part of the largest Swiss food and beverage company. They based in Barcelona, with more than 300 employers and they are in a growth plan of expansion. We are looking for a MS Dynamics 365 Senior Consultant or a IT Jr. Project Manager of Microsoft Dynamics 365 to be a leader in the next CRM projects.Requirements - Degree in Computer Science, Engineering, Sales&Marketing or similar.  - +5 years of experience with implementation/migration of MS Dynamics 365 (CRM).  - Desirable knowledge or experience on MS D365 solution process.  - Capacity to communicate with different levels and used to talk with customer/external stakeholders.  - Native Spanish and fluent level of English.  - Salary budget until 50,000€ gross/year. Functions - As an expert of CRM Consultant position, you will have to support and promote ideas for the improvement of the CRM processes.  - Management the requirements of MS Dynamics 365, including all functionalities and areas involved.  - Ensure CRM integrations from other systems and ERPs.  - Leader of changes from the area of control following the minims of quality Your new Benefits - International environment  - Social benefits: restaurant tickets, gym, pension plan, etc.  - Flexible schedule  - Hybrid model: 2 day´s of teleworking  - Continuous learning",,Jefe de Proyecto,Jornada completa,Más de 5 años,Indefinido,,2024-02-10,tecnoempleo,Barcelona (Híbrido),https://www.tecnoempleo.com/it-crm-project-manager-hibrido/dynamics-365/rf-41fa1b5442ed035f634d
IT Director,Michael Page,05/02/2024,IT Director,"Perfil buscado (Hombre/Mujer)• Develop and implement IT strategies and roadmaps aligned with the overall business objectives of the Company.• IT Business Partner of the areas and department leaders to understand their technology needs & challenges and develop IT solutions that support their operational efficiency and effectiveness.• Provide strategic guidance and technical expertise in the selection, implementation, and maintenance of software applications, databases, and systems.• Oversee the day-to-day operations of IT systems, applications and infrastructure within a SAP environment.• Develop and enforce IT policies, standards, and procedures to ensure compliance with industry regulations, data security, and privacy requirements.• Evaluate and recommend emerging technologies and solutions that can enhance areas processes, improve efficiency, and optimize data management.• Lead and implement IT Security processes and implementations in order to mitigate security risks.• Collaborate with cross-functional teams to streamline processes, identify opportunities for automation, and drive digital transformation initiatives.• Assess SAP Hana implementation through the group for mid-term implementation.• Monitor and analyze IT performance metrics, prepare regular reports for management, and provide recommendations for continuous improvement and cost optimization.• Stay abreast of industry trends, best practices, and emerging technologies, and assess their potential impact on the business operations.• Manage and lead a team of IT professionals, ensuring appropriate staffing, training, and professional development• Multinational company|Experiencie as IT Director- Industrial sector• Degree in Computer Science, Engineering or related IT field. Additional Education within the field will be an asset.• Experience (8-10 years) inITLeadership roles withextensiveexperienceandknowledgeoftheFMGCindustry, businessprocessesandITsolutions• Demonstrated experience in developing and implementing IT strategies, roadmaps, and initiatives aligned with business objectives.• In-depth understanding of enterprise software applications commonly used in FMCG industry with special focus in Finance and Supply areas.• Solid project management skills with the ability to plan, execute and deliver IT projects on time and within budget.• Strong leadership and team management abilities, with a track record of effectively leading and developing IT teams.• Excellent communication and interpersonal skills, with a positive approach and ability to effectively collaborate and influence stakeholders at all levels of the organization.• Thorough understanding of data security, privacy regulations, and compliance requirements.• Strong analytical and problem-solving skills, with the ability to think strategically and provide innovative solutions.• Languages: Spanish, EnglishIndustrial company, in the midst of an expansion process and with an international calling.• Join into multinational company.• Career path and benefits.• Flexibility",,Jefe de Proyecto,Jornada completa,3-5 años,Indefinido,,2024-02-10,tecnoempleo,Barcelona - España,https://www.tecnoempleo.com/it-director-barcelona/it-director/rf-7e2818cff2c003c0a744
IT Líder/IT Coordinador  (South East ),Serem,09/02/2024,"Windows, Hardware, Software","¿Buscas nuevas oportunidades? ¡Envíanos tu currículum y descubre el camino hacia el éxito! ¡Visita nuestro enlace de empleo en: https://www.serem.com/language/es/empleo/envianos-tu-curriculum/ y comienza a construir tu futuro con nosotros!Actualmente, nos encontramos en la búsqueda de un/a Líder IT/ Coordinador IT (South East de Alicante)¿Cuáles serían las funciones del Líder IT?• Diagnóstico y resolución de incidencias en instalaciones propias y de cliente.• Validación y configuración de nuevas instalaciones de software y hardware.• Mantenimiento de las infraestructuras locales de IT en las delegaciones.• Apoyo a la gestión, supervisión e implantación de la infraestructura y proyectos de la compañía.• Integrar las herramientas de los diferentes entornos.• Realización de informes y reportes.¿Cuáles son los requisitos técnicos del puesto?• Formación completada: FP2 en Informática o similares• Inglés para mantener una conversación (B1-B2)• Español: Nativo• Experiencia en la identificación y resolución de problemas hardware y software (HW/SW)• Experiencia en administración Windows• 2 - 3 años de experiencia en puestos similar.• Disponibilidad para viajar dentro y fuera de España.• Vehículo propio para desplazamientos.¿Qué requisitos serían deseables?• Capacidades y experiencia en gestión y planificación de proyectos• Experiencia en empresas de Transporte y Logística• Uso de herramientas de ticketing.• Trabajo en equipo• Iniciativa e Innovación• Orientación al cliente• Planificación y organización• Flexibilidad y Adaptación al Cambio• Capacidad analítica Modalidad: Presencial en zona sureste de Alicante. Necesario vehículo propio para poder acceder a instalaciones del cliente.Se ofrece Contratación estable en Jornada completa, buen ambiente de trabajo, ambiente dinámico.Si crees que cumples el perfil inscríbete en la oferta ! Te estamos esperando!Fomentamos un ambiente de trabajo multicultural e inclusivo, no discriminamos por edad, género o creencias; así como ofrecemos igualdad de oportunidades a todo el personal.Desarrollamos nuestras actividades bajo los principios del cuidado del medioambiente, la sostenibilidad y la responsabilidad social corporativa; colaborando en proyectos de reforestación y sostenibilidad.Apoyamos los 10 principios del Pacto Mundial y los 17 Objetivos de Desarrollo Sostenible, en materia de derechos humanos, condiciones laborales, medio ambiente y anticorrupción.Los procesos de reclutamiento se desarrollan bajo altos estándares de calidad definiendo la incorporación en base a la experiencia y habilidades del candidato.",,Soporte Técnico,Jornada completa,2 años,Indefinido,21.000 €-24.000 € Bruto/año,2024-02-10,tecnoempleo,Alicante (Presencial),https://www.tecnoempleo.com/it-lider-it-coordinador-south-east-presencial/windows-hardware-software/rf-12ae1ee77243f3cc2345
IT Líder/IT Coordinador  (South East ),Serem,09/02/2024,"Windows, Hardware, Software","¿Buscas nuevas oportunidades? ¡Envíanos tu currículum y descubre el camino hacia el éxito! ¡Visita nuestro enlace de empleo en: https://www.serem.com/language/es/empleo/envianos-tu-curriculum/ y comienza a construir tu futuro con nosotros!Actualmente, nos encontramos en la búsqueda de un/a Líder IT/ Coordinador IT (South East de Alicante)¿Cuáles serían las funciones del Líder IT?• Diagnóstico y resolución de incidencias en instalaciones propias y de cliente.• Validación y configuración de nuevas instalaciones de software y hardware.• Mantenimiento de las infraestructuras locales de IT en las delegaciones.• Apoyo a la gestión, supervisión e implantación de la infraestructura y proyectos de la compañía.• Integrar las herramientas de los diferentes entornos.• Realización de informes y reportes.¿Cuáles son los requisitos técnicos del puesto?• Formación completada: FP2 en Informática o similares• Inglés para mantener una conversación (B1-B2)• Español: Nativo• Experiencia en la identificación y resolución de problemas hardware y software (HW/SW)• Experiencia en administración Windows• 2 - 3 años de experiencia en puestos similar.• Disponibilidad para viajar dentro y fuera de España.• Vehículo propio para desplazamientos.¿Qué requisitos serían deseables?• Capacidades y experiencia en gestión y planificación de proyectos• Experiencia en empresas de Transporte y Logística• Uso de herramientas de ticketing.• Trabajo en equipo• Iniciativa e Innovación• Orientación al cliente• Planificación y organización• Flexibilidad y Adaptación al Cambio• Capacidad analítica Modalidad: Presencial en zona sureste de Alicante. Necesario vehículo propio para poder acceder a instalaciones del cliente.Se ofrece Contratación estable en Jornada completa, buen ambiente de trabajo, ambiente dinámico.Si crees que cumples el perfil inscríbete en la oferta ! Te estamos esperando!Fomentamos un ambiente de trabajo multicultural e inclusivo, no discriminamos por edad, género o creencias; así como ofrecemos igualdad de oportunidades a todo el personal.Desarrollamos nuestras actividades bajo los principios del cuidado del medioambiente, la sostenibilidad y la responsabilidad social corporativa; colaborando en proyectos de reforestación y sostenibilidad.Apoyamos los 10 principios del Pacto Mundial y los 17 Objetivos de Desarrollo Sostenible, en materia de derechos humanos, condiciones laborales, medio ambiente y anticorrupción.Los procesos de reclutamiento se desarrollan bajo altos estándares de calidad definiendo la incorporación en base a la experiencia y habilidades del candidato.",,Soporte Técnico,Jornada completa,2 años,Indefinido,21.000 €-24.000 € Bruto/año,2024-02-10,tecnoempleo,Alicante (Presencial),https://www.tecnoempleo.com/it-lider-it-coordinador-south-east-presencial/windows-hardware-software/rf-12ae1ee77243f3cc2345
IT Project Manager,HAYS,08/02/2024,"Dynamics, SQL","HAYS Technology collaborates with a multinational leader of self-storage business with exponential growth in recent years.I´m looking for a IT Project Manager Junior with +3 years of experience on similar position and It´s a plus technical knowledge and experience on implementation projects of technology products (ERP, CRM & BI). It´s a must a fluent level of English.Requirements: - Bachelors degree in computer science, engineering, mathematics or similar.  - +3 years of experience in technological services companies as IT Project Coordinator or IT Consultant.  - Languages: Native Spanish and Advanced English.  - Desirable knowledge in MS Dynamics and SQL. Functions: - Offer strategic solutions on the technology projects.  - Taking requirements and interpreting department needs.  - Lead implementation and test demos.  - Drafting of documents and technical reports.  - Lead meetings, establish deadlines for objectives and deliveries to the client. Offer: - Professional career on a international environment.  - Flexibility start/end working day.  - Hybrid work: 3 office / 2 home - Based: Sant Just Desvern.  - Social benefits.  - Competitive salary. If you have experience collected in this offer and meet the requirements, do not hesitate, apply and I will call you as soon as possible to offer you more information.",,Jefe de Proyecto,Jornada completa,3 años,Indefinido,,2024-02-10,tecnoempleo,Barcelona (Híbrido),https://www.tecnoempleo.com/it-project-manager-hibrido/dynamics-sql/rf-b39d1b55521de376c84d
IT Project Manager Junior,Page Personnel,09/02/2024,Project Manager,"Perfil buscado (Hombre/Mujer)• Responsable de lanzar proyectos a tiempo y dentro del presupuesto• Gestión del ciclo de vida del proyecto: Inicio, planificación, ejecución, seguimiento y cierre.• Impulsar comunicación con múltiples departamentos para identificar necesidades y resolver problemas.• Planificación de proyectos, organización de recursos e identificación de riesgos• Preparación de documentos• Coordinación con proveedores y trato con clientes• Cooperar directamente con el resto de jefes de proyecto• Supervisar y revisar los KPI del Proyecto. Presentación de resultados del proyecto• Priorización de tareas en un entorno dinámico con múltiples proyectos y partes interesadas• Mejora de procesos• Multinacional Saas consolidada |ubicada en Granollers • Profesional autónomo con actitud proactiva y resolutiva• 2 años de experiencia en gestión de proyectos especialmente en proyectos de integración (HW y SW)• Capacidad liderazgo, comunicación efectiva, gestión del tiempo• Conocimiento de paquete office (Word, Project, ...)• Preferiblemente background técnicoMultinacional Saas especializados en el desarrollo de software para el seguimiento de mercancias, envíos, logística y almacenamiento. Equipo propio de desarrollo.• Posición con carrer Path a perfil Senior de gestión de proyectos Tech. • Salario entre 30-35.000€ B/A en función de experiencia • Oficina en Granollers• Opción de teletrabajo 2 días a la semana pasado el período de incorporación. • Report a Director de Proyectos en Madrid",,Jefe de Proyecto,Jornada completa,2 años,Indefinido,30.000 €-36.000 € Bruto/año,2024-02-10,tecnoempleo,Barcelona (Híbrido),https://www.tecnoempleo.com/it-project-manager-junior-hibrido/project-manager/rf-e0b81c4c5268d3fdd14f
IT Risk - SAST y DAST,Page Personnel,08/02/2024,"Ciberseguridad, DAST, SAST","Perfil buscado (Hombre/Mujer)• Análisis DAST y SAST • Seguimiento y plan de acciones para solucionar posibles vulnerabilidades• Coordinación con los diferentes equipos y compañeros de ciberseguridad y desarrollo. • Redacción informes técnicos• Contrato indefinido|Empresa IT• A partir 1-2 años de experiencia como auditor/a de riesgos • Formación previa vinculada a Ciberseguridad• Haber trabajado con pruebas SAST y DAST • Empresa IT, con área y equipo propio especializado en Ciberseguridad• +20 años en mercado• Oficinas principales en Madrid, aunque abarcan más territorio nacional• Contrato indefinido• Salario hasta 30.000€, a valorar según experiencia previa. • Trabajar en proyectos de partners referentes a nivel nacional e internacional. • Modalidad de trabajo: 100% remoto. Existe preferencia si la persona vive en Madrid ya que es donde tienen las oficinas y si surgiese algún imprevisto, sí les gustaría coordinar reuniones puntuales en las oficinas. No obstante, el equipo es de diferentes partes de España y no será un criterio de exclusión en absoluto. La prioridad es que exista buen ajuste y que te pueda motivar empresa/proyecto. • Flexibilidad entrada-salida • Retribución flexible• Jornada intensiva viernes y meses de verano",,Auditor,Jornada completa,2 años,Indefinido,24.000 €-30.000 € Bruto/año,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/it-risk-sast-dast-remoto/ciberseguridad-dast-sast/rf-c2bd1ffcc2f4a33a4b45
IT Security OFFICER - Teleco,Adamo Telecom Iberia,08/02/2024,"Google Cloud, CISSP, CISA, GIAC","The IT Security Officer is responsible for implementing and supporting security technology solutions. Leads or serves as multi-discipline technical resource in IT to continually improve the security infrastructure and services. Keeps abreast of the latest technologies and identifies opportunities to propose improvements to Adamo cyber protection, detection and response capabilities. The responsibilities include reviewing our current security measures and processes, identifying and addressing areas of weakness through penetration testing and blue/red teaming, and responding promptly to possible security breaches. Continuously improves core processes in identity & access management, threat hunting and analysis, vulnerability management, security monitoring and incident response both on-premise and in the cloud.Responsibilities- Design and implement safety measures- Implementation, enhancements and ongoing support of Information Security infrastructure systems and architecture.- Responsible for development, implementation, monitoring and operational support of new or currently owned/managed solutions and security service provider relationships- Ensures compliance of the security controls software version, policies and rules.- Maintains baselines for the secure configuration and operations of company assets.- Provide and maintain consistent and accurate operational documentation, process workflows and configurations- Participate in IS/IT Security projects as assigned- Maintain metrics for measuring overall health of security systems, project progress, service success, and business value- Responsible for security log management, archiving and retention according to security policy.- Contributes in the IT security related aspects of legal and regulatory compliance.- Identifies issues in networks, systems and applications by performing penetration tests and assessments.- Supports security audits, risk analysis, and assessments- Implement our Information Security Roadmap. Requisitos:Knowledge, Skills and Experience- Bachelor´s Degree with IT field of study required.- 5 to 8 Years of relevant work experience.- Other Education / Certifications: selection of security and technology certifications and/or equivalent proven work experienceCritical Skills- Experience with zero-trust and defense-in-depth strategies- Knowledge of Google Cloud- Experience with firewalls and rules management.- Able to secure networks and systems through firewalls, password protection and system hardening.- Able to identify the strengths and weaknesses of IT systems- Able to multi-task, troubleshoot, and prioritize- Excellent problem-solving and technical skills- Able to quickly learn new systems and technologies.- Able to recognize and attend to important details with accuracy and efficiency.- Possesses strong organizational and time management skills, driving tasks to completion.- Able to work independently.- Able to maintain confidentiality of sensitive information- Able to build solid, effective working relationships with others. Additional Knowledge and Skills- Knowledge of foundational security principles- Previous work experience in a Security Operations Center- Cyber Threat Intelligence- Relevant security certifications (CISSP, CISA, GIAC, Security Plus)- Automation and orchestration- Scripting experience – Python, PowerShell, etc.",,Ciberseguridad,Jornada completa,Más de 5 años,Indefinido,,2024-02-10,tecnoempleo,Barcelona (Híbrido),https://www.tecnoempleo.com/it-security-officer-teleco-hibrido/google-cloud-cissp-cisa-giac-security-p/rf-2b3e1bfa522c532cc04d
Incident & Response Analyst Security,Serem,09/02/2024,"ciberseguridad, seguridad, TCP/IP, DNS","En SEREM estamos comprometidos con diversos proyectos y queremos contar con los mejores profesionales del sector. Nos encontramos en búsqueda activa de un/a Incident & Response Analyst Security para importante cliente ubicado en Madrid (Teletrabajo 100%).Funciones:El Analista de respuesta a incidentes proporcionará detección, contención y análisis de eventos de seguridad para proteger la confidencialidad, integridad y disponibilidad de los sistemas de información de acuerdo con los objetivos comerciales, los requisitos reglamentarios y las metas estratégicas de la empresa. Idioma Inglés alto (obligatorio).Requisitos:-Amplio conocimiento de TCP/IP, DNS, servicios de red comunes, infraestructura en la nube/local y otros temas fundamentales.-Conocimiento intermedio de técnicas de detección, análisis y evasión de malware.Teletrabajo 100%.Fomentamos un ambiente de trabajo multicultural e inclusivo, no discriminamos por edad, género o creencias; así como ofrecemos igualdad de oportunidades a todo el personal.Desarrollamos nuestras actividades bajo los principios del cuidado del medioambiente, la sostenibilidad y la responsabilidad social corporativa; colaborando en proyectos de reforestación y sostenibilidad.Apoyamos los 10 principios del Pacto Mundial y los 17 Objetivos de Desarrollo Sostenible, en materia de derechos humanos, condiciones laborales, medio ambiente y anticorrupción.Los procesos de reclutamiento se desarrollan bajo altos estándares de calidad definiendo la incorporación en base a la experiencia y habilidades del candidato.",,Analista,Jornada completa,3 años,Indefinido,,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/incident-response-analyst-security-remoto/ciberseguridad-seguridad-tcp-ip-/rf-aa5a1b64729193b09d41
Information Security Engineer,Page Personnel,08/02/2024,"ciberseguridad, SIEM, CISSP","Perfil buscado (Hombre/Mujer)• Liderar y realizar auditorías de ciberseguridad para identificar vulnerabilidades y áreas de mejora.• Diseñar estrategias de ciberseguridad a corto, medio y largo plazo.• Trabajar de la mano con equipos de desarrollo, operaciones e IT para asegurar la integración de prácticas de seguridad.• Capacitar y mentorizar a perfiles junior, asegurándose de que adquieren las habilidades y el conocimiento necesarios.• Mantenerse actualizado sobre tendencias, amenazas y mejores prácticas en ciberseguridad.• Coordinar la respuesta a incidentes de seguridad y liderar la investigación cuando sea necesario.• Desarrollar y mantener políticas y procedimientos de ciberseguridad. • Posición de responsabilidad en un departamento en crecimiento|Empresa líder en su industria• Dominio en sistemas operativos, redes y protocolos.• Habilidad para realizar auditorías de ciberseguridad y análisis de vulnerabilidades.• Experiencia en diseño e implementación de políticas y procedimientos de seguridad.• Conocimiento en herramientas de seguridad como IDS/IPS, SIEM y soluciones de firewall.• Certificaciones relevantes en ciberseguridad (ej. CISSP, CISM, CEH).• Familiaridad con estándares y regulaciones de ciberseguridad (como GDPR, ISO 27001).Trabajarás para una empresa enfocada en soluciones IT y desarrollo de software con un foco en la investigación y la innovación tecnológica. Ofrecen soluciones punteras a clientes tanto en el ámbito público como privado. Son un referente en el sector IT en Galicia y siguen creciendo en el día a día.• Desarrollo de carrera en una empresa referente en el sector IT.• Capacidad de decisión y rol de responsabilidad en un proyecto en crecimiento.• Flexibilidad horaria + posibilidad de teletrabajar 4 días de la semana. • Jornada laboral de 37 horas y 35 horas durante los meses de verano.• Seguro médico.• Plan de retribución flexible.• +25 días de vacaciones y gestión flexible de los mismos.• Salario competitivo.",,Ciberseguridad,Jornada completa,3 años,Indefinido,24.000 €-36.000 € Bruto/año,2024-02-10,tecnoempleo,A Coruña (Híbrido),https://www.tecnoempleo.com/information-security-engineer-hibrido/ciberseguridad-siem-cissp/rf-8c991e0cb26183594647
Ing. de sistemas mecánico aeronave,OXIGENT Technologies,09/02/2024,"CATIA, AUTOCAD, CAD","¿Te interesaría seguir desarrollándote como Diseñador de sistemas aeroespaciales en una empresa líder dedicada a sector transporte, aeroespacial y defensa en entorno colaborativo utilizando tecnología puntera?Desde Oxigent Technologies seleccionamos un/a INGENIERO/A DE DISEÑO DE SISTEMAS AEROESPACIALES para participar en un proyecto de desarrollo, modelado y simulación de sistemas aeroespaciales ubicado en Madrid.¿Cuáles serán tus funciones principales?Desarrollar sistemas y subsistemas para aeronaves y vehículos espacialesModelado y Simulación para prever el comportamiento de los sistemasParticipar en actividades de investigación para incorporar tecnologías avanzadas y mejorar la eficiencia de los sistemas aeroespaciales.Garantizar que los diseños cumplan con las normativas y estándares de seguridad y calidad.Planificar y realizar pruebas para verificar y validar la funcionalidad de los sistemas diseñados.Optimización de CostosSeguimiento de ProyectosPara ello, ¿qué vas a necesitar?Conocimientos en Ingeniería AeronáuticaExperiencia con AUTOCADConocimientos en Materiales y Procesos de FabricaciónDinámica de Fluidos Computacional (CFD)¿Qué te ofrecemos?Contratación indefinida a través de Oxigent.Salario acorde a la experiencia aportada (entre 35.000 - 40.000 euros brutos anuales).Horario flexible.Modelo presencial Cheque Formación para desarrollarte en las áreas profesionales que más te interesen.Seguro médico privado.Retribución flexible aplicable a seguro médico, restaurante, transporte, guardería y formación.Aplicación de acceso a gimnasios y actividades deportivas en toda España con descuentos.¡Y muchos otros beneficios!",,Ingenieros/Industria,Jornada completa,3 años,Indefinido,36.000 €-42.000 € Bruto/año,2024-02-10,tecnoempleo,Madrid (Presencial),https://www.tecnoempleo.com/ing-sistemas-mecanico-aeronave-presencial/catia-autocad-cad/rf-132a1fb5a2f4c306004a
Ingeniero Desarrollo Senior .NET,arelance,08/02/2024,".net, .netcore, c#, microservicios","¿Cómo vas a afrontar tu desarrollo profesional? Acompañado o en solitario, con vistas al futuro o sólo en el presente, con entusiasmo o sin ilusión.En Arelance sabemos que las personas son el activo más importante dentro de una empresa, por ello  invertimos  tiempo y dedicación para encontrar los mejores profesionales de hoy y de mañana. No empleamos menos tiempo en escoger en nuestros clientes los mejores proyectos con proyección y en donde aportar realmente valor.Formarás parte de un entorno cercano, joven y dinámico. Deberás estar preparado para poder adaptarte a los continuos cambios que supone trabajar en una compañía cuya constante es la Innovación, orientación al logro y el crecimiento profesional.Seleccionamos 4 Ingenieros con más de 3 años de experiencia en desarrollo de aplicaciones Microsoft (.NET Framework y Core) e inglés avanzado para incorporación en un importante proyecto para Sector Defensa.REQUISITOS:- Al menos 3 años de experiencia en desarrollo de proyectos Microsoft .NET tanto en aplicaciones de escritorio WPF/MVVM como en desarrollo Web MVC.- Experiencia en NET Framework, C# y .NET Core.- Experiencia en diseños técnicos, desarrollo software, pruebas unitarias y pruebas de integración Imprescindible: - - Conocimiento y/o experiencia en entorno de microservicios y contenedores Docker. - Valorable Experiencia en Enterprise Architect, UML, SQL Server, GIT, Jira, metodología Ágil, mensajería con broker de mensajes en RabbitMQ, Identity y Oauth2. - Recomendable formación en Ingeniería.- Inglés nivel avanzado, B2.¿QUÉ OFRECEMOS?-Incorporación a un proyecto en continuo desarrollo de ámbito internacional.-Modalidad trabajo 100% remoto.-Condiciones salariales a negociar en función de la experiencia aportada y perfil profesional.-Integración en un proyecto colaborativo en expansión.Si estás interesado/a en una gran oportunidad como ésta, inscríbete! Queremos conocerte!",,Analista Programador,Jornada completa,3 años,Indefinido,33.000 €-39.000 € Bruto/año,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/ingeniero-desarrollo-senior-net-remoto/net-netcore-c-microservicios-docker/rf-67451f41122bf3f1a74f
